Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2,σ
2.483318288417629e7,0.0009998621972110314,0.6725911313103109,-18.498360963258925,0.713921434952415,139.70255949984065,0.07909145312026239,764180.7858413585,857490.621848976,2.740990955570811e6,1.3998144702437725e6,0.2938505139619063
2.3576369112429064e7,0.0012433783287765904,0.7678363747095837,-18.62452894020715,0.8077474328876808,113.11748086707992,0.06843059779352022,927726.5770680287,857545.7361422563,3.5364587404442066e6,1.2894286540667885e6,0.3257312728378871
2.167833896831618e7,0.00015515528289340589,0.8268714714905193,-18.726753628130467,0.9592596969115087,106.23785516984655,0.08910162778803198,752446.8743117069,1.2273512772277142e6,3.0586924154669857e6,1.4264489884779851e6,0.2722077938404751
1.8804679430475686e7,0.0036247398100523265,0.9795836273676507,-18.4166627349805,0.6134680239510105,118.08665358909018,0.05741590528184818,799356.1198318745,1.0609839871181902e6,3.4785571847015377e6,1.3021912906696736e6,0.35931763950216533
2.0652977295253407e7,0.000238209204798377,0.9848321045819999,-18.780030994100233,0.8366264594962642,113.13168821502906,0.05253933644163343,896616.0757538932,1.2207654071621732e6,3.2302878734233677e6,1.336247106068349e6,0.24330789412425546
2.771834895628878e7,0.0023655428525750154,0.7306664678977933,-18.318219436971592,0.6522733067517594,102.25858879318106,0.0563673735243135,885704.2828152967,903255.7186278377,3.2121111243606405e6,1.4660130323699971e6,0.3621773528783287
2.465588222731278e7,0.00026194231399096017,0.8002037348080897,-18.59334729651266,0.5903477638904455,141.77569451488955,0.03745654967402307,873942.658160508,1.103837829171264e6,3.378369070860446e6,1.343595488902377e6,0.3179278518323544
2.2242245474142488e7,0.005329371630058706,0.7697021980077143,-18.703237255719543,0.7853351414937949,98.62566534646453,0.05579649343862997,1.0648107997128102e6,1.1158629801903474e6,3.26355258281536e6,1.4658567114691993e6,0.3031087247505423
1.788170474404769e7,0.00031782888434099484,0.962870439944904,-18.44003584228945,0.5853123444645858,117.02474091589696,0.05559211521129417,913338.7787942612,1.0092487163225492e6,3.519720460158541e6,1.5351173711400346e6,0.322129129222773
1.938069000633898e7,0.0010277094831114557,0.9400894505431707,-18.438167600947907,0.5294125382345412,126.69938248875172,0.07798863246713725,824258.2019836374,1.0777961164226467e6,3.306412727654641e6,1.5479419191241167e6,0.47869575579909296
1.929434938752957e7,0.0011364186080243192,0.8933334942807255,-18.36172702088292,0.5437862062804989,118.33570510299516,0.04344165666199213,916595.2196203524,1.149247305544259e6,3.166894069666101e6,1.7458754822970598e6,0.4327567998796816
1.940080926853687e7,0.0010475172379776352,0.8807318604362989,-18.41571101176271,0.5452831273485641,119.15872370572504,0.041892880859085935,898156.503752044,1.1722508513608177e6,3.2065761208835244e6,1.7299845214102645e6,0.4362511799596275
1.94143555285215e7,0.0009211569399434979,0.9829291309469933,-18.588105596790147,0.7945279931397928,109.64168712207517,0.028904125481812124,862370.2179650771,1.102526862282933e6,3.056277861782315e6,1.2359283886183924e6,0.2570000805756329
2.2652056876711786e7,0.0004280755109267143,0.9239900797474283,-18.538741572781603,0.755144835497066,97.79307803837571,0.028702942894037436,1.0024661135365968e6,1.1932725052456176e6,3.0803864128857064e6,1.485454754164497e6,0.31686538205803794
2.231418696792113e7,0.0020891040804542423,0.6583240632846182,-18.411141093908576,0.5828600100053948,145.0483854887822,0.10401994975702569,740047.8414710159,969449.3550589079,3.289502211634874e6,1.1679200846626288e6,0.3120102338617349
2.3684987138169345e7,0.0015909241807474227,0.7281333641801174,-18.386017427755654,0.59456653796558,132.6888541171182,0.0648630818898693,774718.8010188837,994603.6628902538,3.1513298646820444e6,1.3260458408913673e6,0.3391745853873473
