parameters,ess,rhat,ess_per_sec
r,8215.378014836575,1.000470175411671,0.4434472132277631
K,9813.71913578979,0.9999631989996773,0.5297219914052274
δ,9071.02016868394,1.0003371318429504,0.48963280906505485
μ,8041.236817652342,0.9999706294678002,0.4340474718573679
e,5123.160573289239,1.0008263912148179,0.27653642656985583
α,4963.727545914178,1.0007882984682523,0.26793059838297806
ϵ,7810.242975780937,1.0004890561953113,0.42157895546461527
η,6607.848633795814,1.000578501427818,0.3566764739000175
β,6840.326660153933,1.0005770299776586,0.36922510315834495
N0_rep1,6309.579896885053,1.000787530622576,0.34057661337781453
N0_rep2,7303.336654027541,1.0006893529569596,0.394217317893815
V0_rep1,6797.591359907778,0.9999073238398902,0.36691834992478894
V0_rep2,8084.21325661887,1.0009889242083614,0.4363672412045291
σ_N,8427.645416932555,1.0009058066878063,0.4549049194645992
σ_V,6087.118042903159,1.0000691806815774,0.32856863407125125
