μ,α,ϵ,η,β,N0_rep1,N0_rep2,V0_rep1,V0_rep2,σ
0.00842813135280731,0.02414539925743796,0.29533356739504213,3.8050681079844764,98.53190263376418,1.1816463694087956e6,818271.4594833967,1.8940402412675105e6,6.6451645211411305e6,0.9061579952382842
0.005825833038038561,0.021927447251333502,0.3312687095348955,5.3129509966564825,91.45633544653698,981301.6666299361,1.0159072298139932e6,2.299747750688649e6,5.603562171634031e6,0.9620107464464542
0.003635425553672534,0.019753858020743333,0.3662842408593161,5.807098979643409,99.0352749040353,1.208042326496341e6,1.0229839454097324e6,1.8599021991247362e6,4.802125094615887e6,0.9435938482601491
0.00207370472913565,0.02075362953716658,0.44229908015609887,4.605977959969038,98.06476853301658,1.1572805068801646e6,815832.1835272517,2.081932018786616e6,5.198413124737851e6,0.7718548819692366
0.003454134584401779,0.020993247297588936,0.39737999550082637,5.242792075741423,97.32376849235881,1.1636577723514002e6,979574.7479569335,1.8708833542220755e6,6.309468391124323e6,0.7601796203078384
0.002765509232576496,0.022096006426322513,0.41473249212678265,5.275864369369639,98.300227161656,1.3634513416523235e6,907695.4319153087,2.065751595734306e6,5.1159682409248315e6,0.9474884985422853
0.003447490290093745,0.02322828320753802,0.4175666808055502,3.719848278000522,98.41669637114262,963828.176719125,902812.9223210674,1.515788743165771e6,4.851697887007358e6,0.8272630592996413
0.004798712142323882,0.03261870449659619,0.3569663684927639,2.804164200190673,97.94742352647447,1.1311731699942346e6,985915.6114934852,2.1497977213426726e6,5.236088465818662e6,1.015592227456763
0.006041630211790504,0.028051186851400983,0.38930310863985296,2.9280115632927,97.98683440790536,1.2012045748459816e6,997363.6574720519,2.10464053359864e6,5.473923857629534e6,1.073351278747112
0.004911345313754737,0.032931434848255704,0.34772985873131956,2.654909590205311,98.58577324742568,1.4537364497063437e6,977972.4057274295,1.7152931590574572e6,3.955145397035041e6,0.8878438044085023
0.005649994444018149,0.029951472861737292,0.3427493716259435,2.401787354500635,98.33761770017365,1.3010528826655517e6,958400.7521292438,2.3238521973004406e6,4.36998376093857e6,0.8551315376348831
0.009781495774563696,0.031245324154065026,0.2777749503320187,3.182433295837379,87.1105028119031,1.130541789551103e6,914118.5056720553,2.75506696205197e6,5.603819476547962e6,0.7684735269910988
0.005688572297131812,0.030684078906470135,0.31403256942826735,2.3371641479972336,99.95160649627002,1.2832004786872393e6,863817.0654226819,1.8036088464098598e6,5.2656883104222e6,0.9733742705341473
0.005326927403767097,0.027316711887454336,0.3228433966131815,2.931109446754924,99.61100586256998,999827.4415626411,965869.1935485534,1.6793087458382163e6,4.928106555798197e6,0.9340306016495848
0.002526955376021521,0.019755281002431877,0.38245773363493396,4.48466117964365,99.68260715244739,1.700399541104802e6,1.289664282364498e6,2.6355161609949605e6,5.826724680266248e6,0.8751338849746867
0.004293126540336878,0.023981028101056557,0.34552138013725964,3.5474651754665465,99.43030829506525,1.500013907785248e6,974899.278916657,1.9316130564400519e6,4.717455302781444e6,0.8141072219474311
0.0038285827849938903,0.02306495899958643,0.36892399322789354,3.8694251366771266,99.54771492486967,1.2492835554817256e6,997127.925241959,1.925279794468503e6,4.491284894009973e6,0.7428522033082643
0.007996034750249889,0.028538956063037843,0.33321100969873446,3.386962707641406,97.79145319288813,922633.3133158186,1.370380486832032e6,2.0969988371886418e6,4.767345263267209e6,0.8556358241159848
