parameters,ess,rhat,ess_per_sec
r,4768.84896115422,1.001423634398327,0.47759665841545856
μ,4468.949022668604,0.9999220978798182,0.4475619037720519
K,8435.18505587762,1.0010898220193523,0.8447774774624243
e,3496.5510772087096,1.0006648445720938,0.35017697646890256
α,4247.073854364476,1.0001962092604477,0.42534127153341383
ϵ,3894.979745635012,1.0002644302360062,0.3900793097588348
η,5516.585460401942,1.0010109702472603,0.5524819098304146
β,5519.238217339838,1.000072945163138,0.5527475814546257
δ,8222.470584454759,1.000476925187639,0.8234742821681912
N0_rep1,5994.163274985189,0.9999088161249271,0.6003109709385086
N0_rep2,5853.811889894568,1.0006135126014002,0.5862548846440419
V0_rep1,7515.564408622253,1.000849330744427,0.7526781571197809
V0_rep2,7237.304285250016,1.0004535594729662,0.7248106137827219
σ_N,5269.452669851521,1.0003342281770826,0.5277317456056282
σ_V,6661.694583274083,1.0006743746526328,0.6671637324378604
