parameters,ess,rhat,ess_per_sec
r,8175.652632388125,1.0005958193436693,0.6861901744393812
K,8119.601144070452,1.0004054283156092,0.6814857205840495
δ,9274.1928952493,1.0006288568896782,0.7783916864771063
μ,9128.497109165573,1.0002355651079426,0.7661633028405731
e,4452.1678053015285,1.0003812127451763,0.37367460927224727
α,4300.7874306271015,1.0005103992961275,0.3609691127968911
ϵ,8494.384919862707,0.9999708458158132,0.7129416735276882
η,6461.508687062324,1.0014203351537085,0.5423204693839522
β,7194.918420391208,1.0003437112446234,0.6038762344680523
N0_rep1,5860.595672263433,1.0006968042697666,0.49188527784777514
N0_rep2,6706.163744126952,0.999927898081559,0.5628545972185415
V0_rep1,6015.143325991012,1.0003047365169444,0.5048566070173154
V0_rep2,6151.554993521332,1.0001433666198374,0.5163057658975961
σ_N,7479.167270466724,1.0001810838481031,0.6277335063933319
σ_V,8332.74355253261,1.0006497182907617,0.6993749623387295
