parameters,ess,rhat,ess_per_sec
r,7243.651253086406,1.0000724514185182,0.5960022199836565
K,9569.8702046704,1.0006839790037987,0.7874017795250381
δ,8943.172511269058,1.0002019899618018,0.7358375609458114
μ,8540.946790302589,1.000274216046268,0.7027427287603996
e,3821.9742145081955,1.0005354882656512,0.3144691864612611
α,3638.268436162259,1.0011040620989184,0.2993540120978691
ϵ,6511.515390242024,1.0013139630442998,0.5357626274992755
η,5437.519087133398,1.001426153814224,0.44739501308185814
β,5052.086495554028,1.0011081783311107,0.4156819070515977
N0_rep1,5420.978386605818,1.000656237510387,0.4460340565849089
N0_rep2,3933.6684058958567,1.0016507160551913,0.32365930118385505
V0_rep1,5756.232856264365,1.0001669643433166,0.47361854418579946
V0_rep2,8555.224195607803,1.0003425970513555,0.7039174630152947
σ_N,6429.9509581935245,1.0001350707078014,0.5290515668926651
σ_V,3185.3398842994793,1.00121877483479,0.26208738882011545
