parameters,ess,rhat,ess_per_sec
r,6077.028009698883,1.0002570977352534,0.3749091270425194
K,8084.785969028094,1.000879378472486,0.49877342101046546
δ,8690.012399624775,1.0010717283028778,0.5361115593892788
μ,7483.693703516838,1.0000230994780723,0.4616903310238518
e,3530.607882216322,1.000247451465643,0.21781323320192278
α,3448.6131348134477,0.9999686480963398,0.21275474422971105
ϵ,6992.065734708331,1.0000732750593204,0.43136040456612973
η,6399.954606547424,1.000711903316903,0.39483138646440696
β,7339.634669149765,1.000684514431412,0.4528029198203902
N0_rep1,6417.903670248077,1.000320523510496,0.3959387152100541
N0_rep2,6106.946868844045,0.9999812545187404,0.37675490648377236
V0_rep1,6259.155656867472,1.000794057855055,0.38614509914949463
V0_rep2,6861.239921245308,1.0001792908395817,0.4232893883651563
σ_N,6888.4088748469585,1.0001121411074994,0.4249655183190082
σ_V,5442.432883089357,1.0006971671498124,0.33575915034948733
