parameters,ess,rhat,ess_per_sec
μ,203.94681485651594,1.0188547191180122,0.0065785275846861465
Kr,145.8775193849996,1.0274958292160026,0.004705438944633499
ϵ,658.0810339079272,1.0103651485224137,0.02122712353986912
ϕlog,998.4799507089783,1.006968170740555,0.03220706292038088
η,1427.3566286283453,1.0143038079489328,0.04604094926033698
β,1235.9771679833973,1.0083902811793544,0.0398677954315758
N0_rep1,2200.678631083471,1.0056521124053022,0.07098529628813875
N0_rep2,218.42701581207794,1.0173159850594686,0.007045602304558488
V0_rep1,494.754781206888,1.006680166588929,0.01595885661717597
V0_rep2,139.83706502973848,1.0282557876036984,0.004510597482519568
σ_N,560.9322432537714,1.0084394162640615,0.018093483038609557
σ_V,661.7187988854117,1.008549563725829,0.021344463628106453
