parameters,ess,rhat,ess_per_sec
μ,2442.65093264472,1.0011301999048314,0.1403056096802258
Kr,1891.7998871070008,1.0009862105945084,0.10866478423347299
ϵ,4415.808087583535,1.001173217858495,0.2536435467217838
ϕlog,4315.943448388462,1.000927236047422,0.24790733247172314
η,3738.4533000328897,1.0023359546581698,0.2147363597934352
β,4736.249569917116,1.0002865944045836,0.27204967137299185
N0_rep1,3552.542815347338,1.0009522025458994,0.2040576813334268
N0_rep2,6011.353145893546,1.0009344777272755,0.34529148510980157
V0_rep1,5795.807608832197,1.000496306246265,0.3329105723944099
V0_rep2,4900.1363461354385,1.0012133075495753,0.28146331036190053
σ_N,5161.124659734195,1.0001594536974938,0.2964544513266229
σ_V,5431.816284227773,1.0014414397975404,0.31200294943674
