parameters,ess,rhat,ess_per_sec
μ,5067.652217357756,1.0004397703782357,0.20488661498292754
Kr,4668.502747504042,1.0000838964926222,0.18874888882436386
ϵ,5555.22582483296,1.0005756647138295,0.22459935407903997
ϕlog,5042.475051315407,1.001312852933631,0.2038686950263032
η,4802.903015795672,1.0003256556122169,0.19418272975148
β,4507.185967039121,1.0010506213018497,0.18222680568373456
N0_rep1,4807.5118732084675,1.0002494271435967,0.19436906716252256
N0_rep2,5147.794998757211,1.0010456870165163,0.20812681034203456
V0_rep1,6308.236832579586,1.0004749427834885,0.2550438024754082
V0_rep2,4044.535004686235,1.0010217409437472,0.1635216961913353
σ_N,5620.2974268690605,1.0006254803695882,0.22723021738631805
σ_V,5250.458484228759,1.0005033033266248,0.21227752414764406
