parameters,ess,rhat,ess_per_sec
μ,2058.7342151722837,1.0018472513587362,0.0521533716624128
Kr,1918.2058235929783,1.0024236912540112,0.04859340292961391
ϵ,2200.216242821966,1.0022553492678183,0.05573749860662262
ϕlog,3208.8008967593755,1.0019293406961332,0.08128770801303783
η,2570.145789984352,1.0014654914535506,0.0651088263962341
β,3765.950204872561,1.0019532989250743,0.09540182469859138
N0_rep1,3940.8880679852514,1.0010343743036085,0.0998334795112943
N0_rep2,5779.887837330936,1.000561881727801,0.14642037632922608
V0_rep1,5199.368688800963,1.000644397859231,0.13171423763132842
V0_rep2,4044.4067173416647,1.0028038598058764,0.10245589019164733
σ_N,3379.76761138565,1.0016110816831483,0.08561876276701907
σ_V,3682.766363009278,1.0014009111304882,0.0932945503408666
