parameters,ess,rhat,ess_per_sec
μ,645.8295708519987,1.0105390802228464,0.018600142995429947
Kr,940.6101131460871,1.0058461401755598,0.027089937341184565
ϵ,1010.4878322013715,1.0050444582362323,0.029102442846171146
ϕlog,2047.0020910719359,1.0019218551669067,0.05895445690982065
η,1732.6845300862853,1.0018310346689983,0.04990198882200117
β,1145.1222610089212,1.0055148450497666,0.03297996679513621
N0_rep1,2151.9731745007107,1.0026627762108695,0.06197766496699377
N0_rep2,2472.781348112895,1.0015516179678103,0.071217065224584
V0_rep1,2381.34723250081,1.0016141036909922,0.068583727109078
V0_rep2,1888.3295657768094,1.0023338215948547,0.054384626426459796
σ_N,2308.850297495175,1.0015582807734613,0.06649578716533047
σ_V,2561.769332943327,1.0019038263827313,0.07377995382155178
data_virus_rep2[12],1817.9705201964996,1.0023317107443621,0.05235825853022167
