parameters,ess,rhat,ess_per_sec
μ,1421.1529630931443,1.0026158584097598,0.060910563476211495
Kr,1789.5764234761555,1.0032062702720055,0.07670117937229508
ϵ,1166.264153270035,1.0034214087707953,0.04998603850719242
ϕlog,3471.527526926012,1.0029520733179558,0.14878954150580304
η,3781.10598223225,1.0019055148798361,0.16205806265904799
β,2883.5316973754375,1.0018186048422033,0.12358806198199718
N0_rep1,3058.865481856371,1.0012540584323741,0.13110286150498865
N0_rep2,3436.215109243125,1.0005922577510218,0.14727605258896573
V0_rep1,5032.776871320421,1.000875626201138,0.2157046307070043
V0_rep2,4739.279378134798,1.0013395309443964,0.20312533899594015
σ_N,4267.26442076596,1.000730902224471,0.1828947953675049
σ_V,5378.655679003216,1.0004069580446795,0.23052898362154586
