parameters,ess,rhat,ess_per_sec
μ,6140.192528870388,1.0005129947623035,0.25048915362411306
Kr,5030.505296614019,1.0002401978599402,0.20521946309105096
ϵ,5135.910385860938,1.000719896328879,0.20951946369673102
ϕlog,5575.1485449451875,0.9998773673256494,0.2274381843542848
η,5379.556094321822,1.0001577015709042,0.2194589903499355
β,5252.04805312555,1.000358462841667,0.21425729982160957
N0_rep1,5355.1337626067125,1.0010731027531496,0.2184626813299689
N0_rep2,5626.413855119881,1.0013863444863322,0.2295295526779258
V0_rep1,5611.688896851129,1.0015729296853708,0.22892884800676974
V0_rep2,4134.83445165258,1.0003325344849237,0.16868057105708087
σ_N,5750.248319182228,1.0001142612843688,0.23458137962742695
σ_V,5815.895578918262,1.0001575227961736,0.23725945958203817
