parameters,ess,rhat,ess_per_sec
μ,5376.6314882697125,1.0006466082509646,0.19198365589249408
Kr,4936.4158390926905,1.0009441690765004,0.1762648531635962
ϵ,4470.810505806746,1.0004305087604626,0.15963945968399854
ϕlog,3396.692460206561,1.0007956871205859,0.12128587162345862
η,3247.954054568278,1.0002646639191617,0.11597486175634052
β,3224.101205588932,1.0007977010832028,0.11512314685631486
N0_rep1,4982.221005558812,1.0001167997623814,0.17790042058831482
N0_rep2,5083.462931149414,1.0002802126976544,0.18151547121004427
V0_rep1,8162.880269809642,1.0005793228023887,0.2914723838205796
V0_rep2,8237.369467322467,1.0009752220085142,0.294132173410811
σ_N,4865.803911448076,1.0002588459880428,0.17374350944710654
σ_V,7057.57622205968,1.001203632050818,0.25200523558422183
