parameters,ess,rhat,ess_per_sec
μ,3485.2996691527806,1.0007989448025254,0.1036128914377055
Kr,1769.919204561701,1.0021621443037854,0.05261712443806585
ϵ,1421.9582581396337,1.0032614165459408,0.04227275144618625
ϕlog,3626.028056677352,1.000313361790304,0.10779654177567809
η,3529.4738756516513,1.0006561491697263,0.10492612636634704
β,2628.2220889534765,1.002166890203383,0.07813322119389295
N0_rep1,3094.432379646215,1.001074705620087,0.09199297525298368
N0_rep2,3072.4184324139082,1.0015982205773761,0.09133853261068117
V0_rep1,5215.83365191932,1.0003062985053846,0.15505915049904923
V0_rep2,3803.538260536061,1.0026702234588365,0.11307366203144313
σ_N,3314.425770923292,1.0011495029258204,0.09853305889891745
σ_V,4279.963923123509,1.000833909233245,0.1272371042435183
