parameters,ess,rhat,ess_per_sec
μ,180.43482322310575,1.0258841796103781,0.010265425132620068
Kr,138.95323395373308,1.044669497204745,0.007905425319832756
ϵ,149.9366933231807,1.0342339203037982,0.008530304031381828
ϕlog,837.2975983830279,1.0022281787578724,0.047636125091527724
η,1238.6773493041533,1.0049469559628652,0.07047170477192985
β,2141.5431108548864,1.005359315247835,0.12183818001459903
N0_rep1,2512.1710446395864,1.0028113492637032,0.1429242056407061
N0_rep2,2748.1016779672163,1.0032034986932366,0.15634693751503909
V0_rep1,5003.5354660693,1.0008247004779631,0.2846646662093233
V0_rep2,3540.4395655873604,1.0005854122855111,0.2014251830544032
σ_N,271.83165090059816,1.0196366542492643,0.015465237869001712
σ_V,1807.1279979907645,1.005105097389246,0.10281239971897077
