parameters,ess,rhat,ess_per_sec
μ,4841.883624075039,1.000594262431953,0.3048689166941743
Kr,10997.340887623235,1.0011590071782024,0.6924469200902638
ϵ,6777.044085784027,0.9999872749646829,0.4267161809813909
ϕlog,5141.786405539572,0.9998393152349002,0.3237522776333023
η,4727.979222806544,1.000076835141467,0.2976969327892414
β,3918.5130177941924,1.0006301239753639,0.24672894095325348
N0_rep1,4669.285196623356,1.0000027376894043,0.29400126689386236
N0_rep2,4443.358889945564,1.000607047018807,0.2797758303246941
V0_rep1,8667.134129813194,1.0009871746865862,0.545725589078781
V0_rep2,9564.080301051496,1.0001150836662365,0.6022017518264238
σ_N,7301.880674119154,1.0019026500109127,0.4597624857978895
σ_V,7983.945370497408,0.9997283260392175,0.5027086491600671
