parameters,ess,rhat,ess_per_sec
μ,84.03003942274042,1.0708873442182916,0.0046611857824049
Kr,317.136090739146,1.023138418178253,0.017591688012950468
ϵ,206.99353189138046,1.03531340960157,0.011482028504687002
ϕlog,1537.3308245919304,1.0055707931209028,0.08527646341317181
η,366.12930098136627,1.0179249660354197,0.020309364412773864
β,100.89063107389906,1.0594312308283522,0.005596450726075118
N0_rep1,2667.5747702446088,1.0108122012746783,0.14797162631344968
N0_rep2,785.0935828081493,1.010793171773435,0.04354951004643152
V0_rep1,309.5350526127898,1.0251955547402856,0.017170054855457258
V0_rep2,2941.7773087445294,1.0059392850973967,0.16318177000415082
σ_N,1394.7236953940117,1.0028017483670175,0.07736597892865509
σ_V,95.90206608558886,1.0609301011621328,0.005319732681458544
