parameters,ess,rhat,ess_per_sec
μ,1457.2140797437125,1.0032696614051952,0.039253785521072206
Kr,1395.6444753356868,1.0023825812763443,0.03759525086947526
ϵ,2500.569583298653,1.0012612731190151,0.06735923257108904
ϕlog,2174.522719687714,1.003424276387045,0.05857632700360164
η,2269.665846221617,1.0006397875813158,0.06113925027937928
β,2378.965250629743,1.0018481110590172,0.06408350907968685
N0_rep1,1967.178493419764,1.001897780584996,0.052990980347888406
N0_rep2,1921.5449080783133,1.0017062919455508,0.05176172309842106
V0_rep1,2286.2655977534873,1.0016195072404175,0.06158640701179963
V0_rep2,2863.9792143355226,1.0008289108645245,0.0771485997692993
σ_N,2335.9414802882484,1.0014177978143877,0.06292455386729284
σ_V,2667.3554891021477,1.0006757862484528,0.07185203720793387
