parameters,ess,rhat,ess_per_sec
μ,3442.696345323169,1.0003538433963712,0.16732914106761076
Kr,2149.360780931421,1.0010953981550275,0.1044677361122022
ϵ,2419.356908409104,1.000463989969091,0.11759065360790162
ϕlog,2256.295466424264,1.0013701971253013,0.10966519975088766
η,2149.4267954761704,1.0013556434858617,0.10447094468942277
β,2515.253480318933,1.000928278082622,0.12225161972267343
N0_rep1,4789.225018353558,1.000429923406353,0.2327759489416681
N0_rep2,4560.643278973508,1.0009600433857149,0.22166594030957834
V0_rep1,4960.664876133764,1.000129885059396,0.24110862811800196
V0_rep2,4150.512036792872,1.0004361317770276,0.20173188235169126
σ_N,2870.43472028239,1.0006418915077198,0.13951488253908523
σ_V,4245.451313930767,1.000002115755144,0.2063463200201905
