Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
1.442229068552066e6,0.0006925858365690715,0.9277002042472039,-17.968012148672557,3.454843755965152,103.65581995286439,0,1.0113903151990799e6,849557.3775482061,9.25894982816138e6,9.0096313513573e6
1.1482212126690424e6,0.0007104545325079787,0.9774051470084085,-17.700162761479984,3.089418007494133,75.73372704703716,0,1.2420958824947127e6,1.0463291892459543e6,9.281073202675842e6,9.908481373636734e6
1.5377899584661755e6,0.000517766310421148,0.9316893461223185,-18.02490691991309,3.263151101755143,118.61758011032747,0,1.14252310582023e6,989850.7809787946,7.928987703775347e6,9.97164088447576e6
1.1750883811154799e6,0.0008144789704599984,0.9407102853799232,-17.918493135504328,4.066989386289302,90.28811372468955,0,1.0339621650694879e6,896128.2221446792,9.392072220321642e6,6.985885873070964e6
1.2385381229720016e6,0.0007206014937830162,0.9441918940090562,-17.90377432295394,3.0796181967028518,102.72507974434829,0,1.2525555907453513e6,998385.3133351824,9.300116960586503e6,9.885620711285569e6
1.2066310588650492e6,0.0007876111105378476,0.9619892463529105,-17.86398545744352,2.805093364414412,107.39164129868097,0,1.2410069346259243e6,1.086143723590374e6,8.798848175811348e6,9.897687632230554e6
1.4192963166564438e6,0.0007128212726734306,0.9037626624967361,-18.00271671034079,3.3887404393477194,99.0669695387521,0,1.2359109301287024e6,1.0536690183396817e6,9.321767807590147e6,9.559882093927974e6
1.255556325386217e6,0.0006301500624918679,0.9614011574547978,-18.026974557941088,3.305041813242813,121.30889095612042,0,1.1029028577419575e6,862176.5874874725,7.414910925091321e6,8.407230933838997e6
1.286800526459353e6,0.0007559229583846752,0.9551181417402738,-17.880634657586842,3.4084453070687015,82.2811259765582,0,1.2255711382417316e6,1.0453704045443422e6,9.905571838994522e6,9.118544325691372e6
1.3587125129719567e6,0.0005275480629857641,0.9645567493536397,-17.85563190532376,3.213154815302486,93.31631586945004,0,1.1503697597400034e6,940437.6714831032,9.115663959768508e6,9.833055585707666e6
1.1729539668679468e6,0.000804610171320579,0.9747203818193729,-17.76391443097979,3.1123730251741732,92.5255378879429,0,1.1286933819627576e6,1.0917186638314426e6,6.693397872205807e6,7.675897832418047e6
1.276475755449719e6,0.000531150676770802,0.9964996094470523,-17.778665036047727,3.441690318119264,83.26247016229576,0,1.1156322428333396e6,919105.0672893209,9.085429882640325e6,9.438861737767998e6
1.2142361264863152e6,0.000856793125458431,0.9499316524426319,-17.83518334303495,2.832545008280413,99.5554414966387,0,1.2066242508728425e6,1.131295657617757e6,9.274685390447361e6,9.619126847449888e6
1.2271237369312386e6,0.0007398376534552279,0.9624094399193202,-17.85573941311388,2.990810092115965,93.82865498368767,0,1.2289891592588362e6,1.0612833011161543e6,9.212936897702722e6,9.108429675643653e6
1.1093012446347284e6,0.0006950959954810332,0.978727560146893,-17.857584349274546,3.47204069433033,104.32434688118842,0,863770.5055820073,766096.1339608326,9.834886536788646e6,7.771548646814893e6
1.007288916638884e6,0.000900728466130189,0.9610647845384837,-17.69648022579988,3.2135988648673126,85.39105125020838,0,1.0459634971997075e6,832982.8653294756,9.942240099716386e6,9.016468833393166e6
1.2312314589020298e6,0.0006021113135080766,0.9877288327737714,-17.814876077252,3.014121099228431,95.75599008251534,0,1.2122355911509595e6,1.058055719573243e6,7.231574692058382e6,9.766899454379877e6
1.213413411753393e6,0.0006535314796131081,0.9967939993141856,-17.665767787227118,3.249412775047209,61.696283452675644,0,1.3966713173326137e6,1.083172114609859e6,9.918393512048649e6,9.695078620560613e6
1.2098076003750823e6,0.0007082337116981728,0.9957980250293081,-17.775618563473763,3.0749058754238536,82.97515376833137,0,1.1932735835544975e6,1.1449738755124216e6,9.385847322159799e6,6.938563198388377e6
1.0863638760640149e6,0.0007999260233466922,0.9975493364107587,-17.868162042160648,3.045468909820793,104.32336286494133,0,1.1188916390903962e6,937538.5968141468,7.218545690197466e6,8.652581416283933e6
1.193610010144479e6,0.0006950396670951489,0.9986391902466462,-17.82927905261571,3.48851093477502,84.67418538225948,0,1.0828785803502125e6,966635.7067732234,8.803520499832043e6,8.633274642228365e6
1.2151378045822785e6,0.0006072652769361955,0.9931111918291794,-17.868287891832665,2.947433449237463,114.52507547634546,0,1.2047244069796954e6,904846.4729514935,8.725407206853446e6,8.3579382432111055e6
1.2300755591729803e6,0.0006052237590397276,0.9920938208300332,-17.87726863766588,2.9619043584946323,114.0681739374025,0,1.2162037326301383e6,906643.8544229823,8.31162638871319e6,7.60115215494343e6
