Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
1.6196647164042076e8,0.0030694564388923638,0.2636267908331712,-19.31630322474948,1.0208315068474971,53.68575093765412,0,1.0019829641319427e6,1.0001344682031414e6,6.071923591311552e6,5.411471106654571e6
7.457321529870832e7,0.006619446658760386,0.23347493891033264,-19.427230749112653,1.1143371708860734,51.586409133264816,0,1.031566202671631e6,1.0864941614632518e6,7.869152143777021e6,5.703325167371738e6
1.4962470291914287e8,0.004969660763884962,0.2149067100003318,-19.560033863441554,1.2215450317372945,48.30896207278664,0,999681.7852168577,1.137022276840428e6,7.891552925546425e6,5.976867645709767e6
1.865748472148151e8,0.0068590758551107835,0.18672067624409244,-19.45463643854987,1.1138411095749563,55.323415784412525,0,972211.8225161866,940636.568815772,8.006824951061846e6,6.073712595008088e6
1.6357905210117245e8,0.0031442291945409464,0.2738936032276894,-19.393980030223126,1.1160483199800817,48.34561680741385,0,893783.4498183636,1.071602684666139e6,7.627059245785516e6,5.4396824504566565e6
4.02144146106467e8,0.0032428679707133807,0.24528336104696816,-19.34902502270732,1.2140874175071206,43.72271041996819,0,973885.6007082735,1.0149836631561809e6,6.743238860009554e6,5.784220225008032e6
7.93162509688943e7,0.006592636693019461,0.1903037272926783,-19.49260335689312,1.1839903025557483,55.3733427696623,0,1.1569106747479215e6,950183.5127286182,7.19209588682094e6,6.61378002519858e6
4.32755870379713e7,0.003883194947122517,0.3132351072218959,-19.275049898612778,0.935791332503564,53.75740900284549,0,994698.6748558453,1.050552999880885e6,7.169003844660076e6,7.054398284044249e6
7.39185959051257e8,0.0036346597251709057,0.2283703594094149,-19.24629878471717,0.9792467231994337,58.71217475447907,0,742715.4346470521,1.0872059844644004e6,6.823244269230264e6,6.491853261083574e6
6.829347841280392e8,0.00497361784588296,0.2105975834913453,-19.184285426907408,0.9489469704251619,51.9873386118001,0,987127.4603581441,936313.8608327985,7.996060559674156e6,6.671715663300586e6
3.4510305606546444e8,0.0030102741575157685,0.2524250060487449,-19.377468280467006,1.0859197568077876,53.46666206976446,0,1.0519064878250118e6,1.039744075982502e6,5.637286850136623e6,4.936667948166304e6
8.29032201611039e7,0.003344811908353888,0.30968357729582646,-19.290170109559675,0.9113241044502587,55.18198293830349,0,873420.88125592,1.0331040457368947e6,8.022532161950348e6,5.812300581819015e6
2.0256423490813154e8,0.004021535732052086,0.2495298118016638,-19.4466508715387,1.0557556916624797,59.843229791806706,0,878805.1228815152,986889.2484793203,8.207377341332386e6,5.82277254017156e6
7.690295107690206e7,0.00756300185542323,0.172251248420037,-19.443605506289718,1.1455610319843186,44.326655801332095,0,1.1203148225078052e6,1.1998756545713483e6,9.36280091311121e6,5.604765697891444e6
5.605856973835104e8,0.004790241033022281,0.22301326941346175,-19.387058052533366,1.2292789006128801,43.56588068230334,0,922317.3315970104,1.002328895451918e6,9.730865022280302e6,6.111163822498446e6
3.460293546087001e7,0.013232975355541353,0.21743623345921387,-19.561562877923734,1.184205038162224,57.63022925755778,0,933242.3684148474,1.0967646668887492e6,9.86173336892865e6,5.322334731719117e6
5.287390866013215e7,0.009148266875442729,0.21559264595005143,-19.504258809264748,1.067157795991621,58.64253161566994,0,905627.8623877729,1.0156462396573308e6,9.808138384226767e6,5.191936040095772e6
1.2568797953012285e8,0.005808482284089887,0.20384901764498015,-19.534639459096475,1.209906568990123,58.72084646975889,0,833204.5540212473,963303.0022203266,9.763101877319135e6,5.459264099226739e6
4.4198432247192204e7,0.013689154173866723,0.15163711479661293,-19.458955571840704,1.0774416260880177,65.6821665144208,0,851620.9808074437,987917.4786504752,9.749010071753442e6,5.956582694218074e6
1.8902326174907744e7,0.026032362647760137,0.18540323461018499,-19.452450696390486,1.0528649234258483,63.539512111247426,0,799007.9400149944,979741.9715686338,9.756603268511292e6,6.344958935886378e6
1.3478316203678775e8,0.002969560252008026,0.268245225479951,-19.63859485759642,1.1981679799628688,53.45104124815569,0,1.146519475582582e6,1.0826147133938144e6,9.933721961323591e6,5.597769442646912e6
2.4978926352939373e8,0.008221000154280358,0.18567321705043535,-19.66487249754944,1.4708031665399302,52.81911293675685,0,915760.3101511032,1.072632347898444e6,9.793578858721497e6,6.512719795484304e6
