Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
1.830451995858087e8,0.007643287742016286,0.625723232689075,-17.558341116870444,1.5329010664539635,234.66938299733184,0,1.2553203132013315e6,1.295790586239208e6,3.1060455374400187e6,2.126997695767735e6
2.9824804526213136e7,0.0036996715118691632,0.9050419450396758,-17.14440014730188,0.6578933800513375,412.9053049976005,0,731853.9153865149,934517.6874293331,4.449942390470395e6,2.087364903465444e6
2.3658655455940057e7,0.0031761290740166433,0.8832516883820879,-17.697785240837245,1.6818667678314692,290.99125235287846,0,900532.0173205243,970637.7420601888,3.9145794730641535e6,2.264306108846253e6
1.7084238942430866e8,0.016106050631598222,0.6100833751050769,-16.924571247910713,0.44576367822843077,413.008960511121,0,1.0332210098598204e6,1.0895190961224004e6,4.620410561460449e6,2.1355699880069187e6
8.885787910274613e7,0.01231639039155606,0.6028079244191823,-16.941214413926385,0.5344063335321703,393.10605741510034,0,966690.1079213233,1.1227094065475478e6,3.6355235830016593e6,2.1175963039632384e6
2.3228196504133567e7,0.004875195368567562,0.8205528474901596,-17.434219456167362,1.0866389049785237,281.6084867254186,0,1.0911044291249462e6,1.1610532684310826e6,3.8102257450352064e6,2.0788149706678e6
3.77421454348327e7,0.0024895490633370138,0.8019886326326483,-17.409838568615495,0.995378879837204,306.8020814524009,0,947736.9592388722,1.0834757770848055e6,3.7552850130717e6,2.1078948812532565e6
2.287775997892157e7,0.0038676941635216277,0.9247424790993019,-17.290450843071923,1.0083102730687212,345.6696158793063,0,935083.6568974337,969832.4637467728,3.56370679889243e6,1.870477053602406e6
3.418444373665839e7,0.002383839830993714,0.9277512351975915,-16.96870469599724,0.5672202295726295,325.7435617309607,0,1.0811948813182202e6,1.2688147961070752e6,3.67377867998353e6,2.414252976949012e6
1.873176005589647e8,0.00750349632816117,0.7293038771377625,-17.213939435165784,0.9696025385361987,297.64414557363204,0,954307.8819238129,1.1271901982447589e6,3.176735343051709e6,1.7851375061257046e6
1.4614084990824753e8,0.01752293462617898,0.6081532563444202,-17.38814991396285,0.937601797555807,358.60880079598905,0,966479.6942100681,908606.7929583981,3.708674427098908e6,2.3236441357890936e6
7.122058593108562e7,0.017049462704045514,0.5988010000455147,-17.485482398661418,1.1534700127689326,271.942134619888,0,1.0978214104867121e6,1.1681503085347677e6,3.9741573767222613e6,2.370492346297344e6
1.5498674685850078e8,0.007218553627381404,0.6238806758803667,-17.565280241323688,1.2533544163922163,227.33362358395715,0,1.1605816654341791e6,1.4152468887476507e6,3.972512971022126e6,2.2066643764668913e6
1.5498674685850078e8,0.007218553627381404,0.6238806758803667,-17.565280241323688,1.2533544163922163,227.33362358395715,0,1.1605816654341791e6,1.4152468887476507e6,3.972512971022126e6,2.2066643764668913e6
2.0244910355954215e8,0.005684170222324206,0.6895911703481036,-16.8352368612495,0.4931410948108792,446.2744560883494,0,860211.0974949256,941382.3101876237,3.5659607472892297e6,2.0058439392991394e6
3.554570241996116e7,0.011552422934469432,0.6650010063089968,-17.37155550726345,1.0738080031298365,333.00835495210845,0,922099.6461331833,1.1221666690038848e6,3.938084975046856e6,2.109104195172177e6
3.7974306332805015e7,0.010144503660752322,0.694001738335758,-17.379409814804866,1.0254752327549883,288.6479900514566,0,1.1368248421701938e6,1.1589905277119218e6,3.8517824430695693e6,2.3732166145194117e6
