Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
2.0641764019345354e7,0.009698100062459837,0.8629594482677273,-18.681945099414335,0.9712186820924406,91.82813817964224,0,830524.6673637142,1.1276031835916354e6,3.6519604226310244e6,1.5539952533932808e6
2.2679744716183085e7,0.007063240840015597,0.8895579249802719,-18.85058604959166,0.8708140162924731,106.62450690392238,0,1.0159993375771884e6,1.1402812858727733e6,3.538230743593737e6,1.4220226982927828e6
2.371112363051024e7,0.007988289154647214,0.899080928051643,-18.541024663221037,0.9000672354970402,90.72315287462929,0,920464.4944332135,1.1631216986907613e6,3.1973192030081977e6,1.3442972682101566e6
2.1929400538784903e7,0.007748345244028101,0.9537004489978902,-18.619834339005173,0.7538054725898232,123.83707982480453,0,937500.910154343,1.0969040914800758e6,3.2803457508372245e6,1.334220361773699e6
2.4388319571454797e7,0.005311019522352111,0.8769343614703947,-18.431854312585628,0.6063175482429872,114.54133357036821,0,785688.5919363096,1.0003184123356834e6,3.370861409794216e6,1.4361117745301006e6
2.5747551747877907e7,0.003461667461721397,0.9280325031714399,-18.329592110696463,0.5381896825954418,119.69533139843313,0,867606.4551004202,1.1759123524462138e6,3.3627125436145156e6,1.260478963305755e6
2.1454504041990995e7,0.012918026108905321,0.8248160661224736,-18.79962197976246,1.0157033154930546,93.05638135234801,0,1.039803498191252e6,1.123485083884894e6,3.4743828221366075e6,1.5311375459483387e6
2.2604711726088457e7,0.005555509834651764,0.9721468434710486,-18.57314544270083,0.7955575419421379,97.33304226151931,0,977317.0789335845,1.2901974483655686e6,3.1949048795087757e6,1.4395079331223075e6
2.325436746402428e7,0.00478931737907386,0.9788747887902643,-18.643182486295192,0.816122476902732,99.46306653772751,0,969473.2359738953,1.1906039331153296e6,3.4327905055628503e6,1.2243856009895396e6
2.43330389835842e7,0.006303581188339646,0.9592705984095337,-18.514116284835595,0.7016718786162934,99.59361702784658,0,1.0317482672509908e6,1.1201643759384803e6,3.385954712854439e6,1.182413117968904e6
2.189689385015663e7,0.008149254995997345,0.9594369687769635,-18.724042938843276,0.8507304392724857,111.07892532156693,0,760726.8470418695,1.1225500812302157e6,4.1440871006757594e6,1.4370910589717845e6
2.042696352770958e7,0.011326097046387667,0.8114947525582706,-18.612274399020936,0.8090412202977231,102.917936371162,0,839829.3088589343,1.2529957403273035e6,3.2635912065779166e6,1.4723395159539017e6
2.174898974069787e7,0.01072391131745901,0.9017320833212776,-18.568853755177688,0.8335935610320453,98.98542327579902,0,968761.7900179616,1.0116773715376656e6,2.756811601082797e6,1.4444215264622648e6
2.2531329238184955e7,0.007561251691136747,0.9321455901305117,-18.63717637520867,0.8709986172178694,96.68125549377287,0,864542.5036101989,1.0118409168842996e6,2.728464576373393e6,1.9683804140809102e6
2.072729151415763e7,0.004547278735886334,0.9947092874499667,-18.505362931243127,0.8389990928157531,92.7964587106748,0,920052.5463263062,959622.7520987941,3.1517398268633345e6,1.8010926606127736e6
1.989816104162014e7,0.009956691307213529,0.9888592681770817,-18.625021021876293,0.8447621687944356,97.81171019994828,0,994827.5165311,965877.0487908567,3.0535961283387123e6,1.644999500375562e6
