parameters,ess,rhat,ess_per_sec
μ,2993.360069682518,1.0001424597128479,0.07367851812005273
Kr,4501.53676635779,1.0006081118292698,0.11080075583534903
ϵ,2948.428523920237,1.0007335748894606,0.07257257375267186
ϕlog,3725.952658413964,1.0002132975349853,0.09171054068564774
η,3084.05199836418,1.000665835380674,0.07591080783968646
β,5507.376393658146,1.0007602598708913,0.1355584767512215
N0_rep1,6342.6587530548,1.0007528726167012,0.15611810373211263
N0_rep2,6561.799585985262,1.0010030737751916,0.16151203277975404
V0_rep1,5334.665285941607,1.000715423780215,0.13130736823664277
V0_rep2,5407.044479986243,1.0007160923571063,0.13308890859122433
σ_N,4723.211389097438,1.0004220419215772,0.11625705154587852
σ_V,5433.237847077876,1.0001670877626974,0.1337336317207377
