parameters,ess,rhat,ess_per_sec
μ,6810.959583343105,1.0007055224559664,0.4435220734674551
Kr,7862.3512030312895,1.0003899788363904,0.5119875202938952
ϵ,5246.425712210891,1.0000273837076992,0.3416413769160265
ϕlog,6053.610530384736,1.0002385306135837,0.3942043498491577
η,6062.321679666798,1.0001421945322069,0.39477161015140844
β,6180.892686080125,1.0003314007181194,0.4024928215275812
N0_rep1,7194.245325966282,1.0007153828934674,0.4684812125165968
N0_rep2,6656.3650875783715,1.00013554456855,0.4334550527386997
V0_rep1,8270.089615429977,0.9998092267542694,0.5385389898609234
V0_rep2,7158.751366066871,1.000371094004981,0.4661698855299183
σ_N,7338.911613922109,1.000677270067688,0.4779017194524953
σ_V,8386.13635284299,1.0000238851177816,0.5460958236619089
