parameters,ess,rhat,ess_per_sec
μ,5108.516634353331,1.0008570169341167,0.20919207219104735
Kr,4328.658951146179,1.0009930751500289,0.1772571571381839
ϵ,3465.7538246971308,1.002098878487379,0.14192147666055646
ϕlog,4098.819004875797,1.0006158936669463,0.16784528710349494
η,3580.292156136038,1.0005960188067151,0.14661178357624355
β,3786.5786146838172,1.0004730961761694,0.15505914605292953
N0_rep1,4198.157147515065,1.0002746030223935,0.1719131512984696
N0_rep2,3914.3264386410715,1.0001618835784551,0.16029037733282886
V0_rep1,5773.826751667018,1.0005230334916884,0.2364363021803536
V0_rep2,5750.397272081507,0.999928293600294,0.2354768727146862
σ_N,3566.450764276426,1.0011212068034618,0.1460449831423076
σ_V,5437.23513383877,0.9999957884427855,0.22265298638528985
