TIME;REPLICATE_1;REPLICATE_2
0;989444.4444;462037.037
0.998611111;2149516.575;2286402.157
2.000694444;6341505.525;6997303.544
2.99375;11990676.8;43203901.71
3.999305556;27199585.64;28941006.68
5;41954419.89;51486559.62
5.997916667;65702693.37;73613566.66
7.004861111;71215469.61;88538697.46
8.001388889;104602900.6;126731012.1
8.997222222;127548259.1;129550784.8
10.01111111;147801808.2;137209714.6
10.99861111;141375642.6;141482006.7
12.00833333;136979259;120758730.7
13.01111111;129037404.7;132192873.6
