DATE;TIME;STRAIN;SALINITY;REPLICATE;CONTROL;POPULATION;PLATE;WELL;DILUTION;FLORATE;COUNTS;CONCENTRATION
29/03/2023 11:08;7.02;RCC1123;35;2;No;Host;9;H11;20;52.53;217;82619.45555
29/03/2023 11:08;7.02;RCC1123;40;2;No;Host;9;H12;20;52.53;1542;587093.0897
29/03/2023 10:14;7;RCC4221;5;1;Yes;Host;15;G7;100;57.92;22460;38777624.31
29/03/2023 10:14;7;RCC4221;10;1;Yes;Host;15;G8;100;57.92;26576;45883977.9
29/03/2023 10:14;7;RCC4221;15;1;Yes;Host;15;G9;100;57.92;39085;67481008.29
29/03/2023 10:14;7;RCC4221;25;1;Yes;Host;15;G10;100;57.92;47294;81654005.52
29/03/2023 10:14;7;RCC4221;35;1;Yes;Host;15;G11;100;57.92;46859;80902969.61
29/03/2023 10:14;7;RCC4221;40;1;Yes;Host;15;G12;100;57.92;41248;71215469.61
29/03/2023 10:14;7;RCC4221;5;2;Yes;Host;3;D1;100;55.43;23167;41795056.83
29/03/2023 10:14;7;RCC4221;10;2;Yes;Host;3;D2;100;55.43;34181;61665163.27
29/03/2023 10:14;7;RCC4221;15;2;Yes;Host;3;D3;100;55.43;50565;91223164.35
29/03/2023 10:14;7;RCC4221;25;2;Yes;Host;3;D4;100;55.43;54351;98053400.69
29/03/2023 10:14;7;RCC4221;35;2;Yes;Host;3;D5;100;55.43;60755;109606711.2
29/03/2023 10:14;7;RCC4221;40;2;Yes;Host;3;D6;100;55.43;49077;88538697.46
28/03/2023 10:04;6;RCC1116;5;1;Yes;Host;7;D1;200;48;10178;42408333.33
28/03/2023 10:04;6;RCC1116;10;1;Yes;Host;7;D2;200;48;22532;93883333.33
28/03/2023 10:04;6;RCC1116;15;1;Yes;Host;7;D3;200;48;27487;114529166.7
28/03/2023 10:04;6;RCC1116;25;1;Yes;Host;7;D4;200;48;22890;95375000
28/03/2023 10:04;6;RCC1116;35;1;Yes;Host;7;D5;200;48;23955;99812500
28/03/2023 10:04;6;RCC1116;40;1;Yes;Host;7;D6;200;48;26168;109033333.3
28/03/2023 10:04;6;RCC1116;5;2;Yes;Host;7;D7;200;48;10538;43908333.33
28/03/2023 10:04;6;RCC1116;10;2;Yes;Host;7;D8;200;48;19929;83037500
28/03/2023 10:04;6;RCC1116;15;2;Yes;Host;7;D9;200;48;29153;121470833.3
28/03/2023 10:04;6;RCC1116;25;2;Yes;Host;7;D10;200;48;25126;104691666.7
28/03/2023 10:04;6;RCC1116;35;2;Yes;Host;7;D11;200;48;23707;98779166.67
