TIME;REPLICATE_1;REPLICATE_2
0;966111.1111;862777.7778
0.994444444;677966.1017;1725924.499
2;7781201.849;7367103.236
2.991666667;54856499.72;50605890.08
4.000694444;41488673.14;41541976.01
5.003472222;46601941.75;48989149.06
6;54725870.93;44826765.66
7.003472222;87435751;73895869.03
8.002083333;106535269.7;102882013.4
9;97871188.89;73083167.96
10.00972222;46464008.66;102552769.3
10.99791667;128693848.1;133961753.6
12.00972222;139149812.7;123996254.7
13.00416667;22644194.76;92513108.61
