TIME;REPLICATE_1;REPLICATE_2
0;2133888.889;2008518.519
0.994444444;4580508.475;4646764.253
2;15585516.18;14813174.11
2.991666667;98443068.84;83110110.67
4.000694444;83114410.81;71829430.8
5.003472222;93847325.34;124214734.4
6;97529982.87;106205977.5
7.003472222;132795545.4;143570340.8
8.002083333;157311022.9;101172650.2
9;147726862.7;146906007.6
10.00972222;165524084.4;174679776.3
10.99791667;157559083.5;150189428.1
12.00972222;47348314.61;45239700.37
13.00416667;148797752.8;145558052.4
