TIME;REPLICATE_1;REPLICATE_2
0;652446.675;1726474.279
0.222916667;2685069.009;2188205.772
0.477083333;5238199.78;4597145.993
0.711805556;5479692.645;4952799.122
0.998611111;4184412.733;4597145.993
1.225694444;4768386.389;4601536.773
1.472916667;3973655.324;6059275.521
1.727777778;3468715.697;3271130.626
2.000694444;3818181.818;4772727.273
3.000694444;10056818.18;4204545.455
4.008333333;17818181.82;9727272.727
5.00625;51636363.64;32363636.36
6;116272727.3;180727272.7
7.014583333;291090909.1;427090909.1
8.009027778;601727272.7;723636363.6
9.013888889;1375000000;1894318182
10.00486111;2196447793;2605382131
11.00069444;2607857912;2493326157
12.00833333;3124004306;3192680301
13.00208333;3198923574;3404951561
