TIME;REPLICATE_1;REPLICATE_2
0;1527962.963;1577592.593
0.994444444;3564137.134;2743836.672
1.999305556;11157550.08;13214560.86
2.99375;61365597.45;60487713.37
4.002083333;59994288.98;67332952.6
5.001388889;78807348.18;89596421.09
5.999305556;66224062.44;73296211.69
6.999305556;95716733.3;127403388.5
8.002083333;108646040.1;131634494
8.998611111;155520476.3;135062240.7
10.00555556;300505141.6;245688255.5
10.99375;102379253.1;126456431.5
12.00555556;154400749.1;150977528.1
13;164108614.2;149228464.4
