TIME;REPLICATE_1;REPLICATE_2
0;808888.8889;690925.9259
1.014583333;2566643.646;3444722.65
2.018055556;689744.4751;1487480.74
3.017361111;8459.944751;
4.024305556;8114.640884;12448.13278
5.022222222;27106.35359;31932.1667
6.01875;57665.74586;72343.4963
7.029861111;305248.6188;317697.9975
8.024305556;897099.4475;1056828.432
9.022222222;1614468.699;1391665.163
10.02291667;718666.903;660875.7313
11.02361111;740471.5476;777167.1689
12.02083333;1303137.742;621343.7334
13.02013889;1002304.556;994327.2469
