TIME;REPLICATE_1;REPLICATE_2
0;1432962.963;1481111.111
1.004166667;2760978.428;3213790.447
2.014583333;14786402.16;14967064.71
3.0125;66707934.72;63804164.32
4.01875;47637500;53729166.67
5.016666667;32858333.33;54741666.67
6.014583333;64479166.67;66131250
7.025694444;89491666.67;91941666.67
8.020833333;90108333.33;77008333.33
9.020833333;77512500;87187500
10.01805556;77041666.67;105441666.7
11.00972222;136313075.5;130500920.8
12.01944444;144644567.2;145650092.1
13.01388889;145068140;143753222.8
