TIME;REPLICATE_1;REPLICATE_2
0;1180185.185;1135185.185
0.994444444;2875000;2586093.991
2;12536594.76;10487288.14
2.991666667;76008253.61;56267116.86
4.000694444;62044545.97;60194174.76
5.003472222;76310679.61;78496097.47
6;72525223.68;83780696.74
7.003472222;102327241.6;109461.2602
8.002083333;123583799.4;122627638.5
9;118058812.9;115794696
10.00972222;135585423.1;130146130.3
10.99791667;165082085.5;161095074.9
12.00972222;173936329.6;201052434.5
13.00416667;122183520.6;128479400.7
