TIME;REPLICATE_1;REPLICATE_2
0;2939325.843;4035955.056
0.240277778;6934831.461;6966292.135
0.489583333;5788764.045;6530337.079
0.736111111;7280898.876;7316853.933
1.004166667;8717691.343;8045169.385
1.242361111;7984943.538;7693851.945
1.488888889;5590966.123;6188205.772
1.741666667;5882057.716;6378920.954
2.014583333;8331503.842;8008781.559
3.0125;8957189.901;8851811.196
5.016666667;19434318.18;22876363.64
6.014583333;128295454.5;
7.025694444;47272727.27;38409090.91
8.020833333;37954545.45;38863636.36
9.020833333;91363636.36;107727272.7
10.01805556;531216361.7;515069967.7
11.00972222;868137782.6;1182454252
12.01944444;1624865447;1762648009
13.01388889;2298170075;2273412271
