model;AIC;AICc;BIC
constant;-193.3034408;-192.2201075;-193.5572618
linear;-198.3538317;-193.8538317;-198.8614735
polynomial;-79.36136823;-64.36136823;-80.12283099
logistic;-204.2145035;-189.2145035;-204.9759662
normal;-200.4597736;-185.4597736;-201.2212364
power;-190.7415412;-175.7415412;-191.5030039
