parameters,ess,rhat,ess_per_sec
a,733.5085278648454,1.0086440939705035,4.763877614028728
b,598.8195384275859,1.0111363333767878,3.889120419993024
c,512.3027568070269,1.012429493080795,3.3272246225443864
σ,481.3661506937322,1.0057076470798183,3.1263023432272683
