model;AIC;AICc;BIC
constant;68.9032346;69.98656793;68.64941368
linear;69.2713815;73.7713815;68.76373966
polynomial;72.98999717;87.98999717;72.22853441
logistic;82.06305795;97.06305795;81.30159519
normal;73.67253816;88.67253816;72.9110754
power;76.85810695;91.85810695;76.09664419
