a,σm,µ,σ
189.89452833457176,18.023440341218134,26.213231357073713,0.3681028099262284
190.04252860059893,17.999063225873158,26.13683366693952,0.35140338895804224
200.8655647610196,17.306406191226625,26.165141489062258,0.2483202092816886
187.29183299942096,16.12902209849666,26.640827908903905,0.26641259566411796
187.70539546867155,15.463120921878707,26.015390868573917,0.18298956777185246
178.9953362655441,16.65193246435125,26.287877552403522,0.20819921639412464
180.49755522602055,15.80965024201542,25.895626936262587,0.14067613722727904
180.49755522602055,15.80965024201542,25.895626936262587,0.14067613722727904
180.49755522602055,15.80965024201542,25.895626936262587,0.14067613722727904
188.7694006550479,17.264386484157388,26.640791993834554,0.2078596721178048
180.95497578247023,15.766900941074708,26.796373373724247,0.17401811651452356
178.40955283570955,16.176130997825723,26.422650522813264,0.31691186849686914
172.7246729990161,14.841235902579717,27.112087410865783,0.2052715667344452
183.16704228958685,15.844335494327098,26.64439765654144,0.28099181994872374
182.8275144680223,17.07597359160933,25.70277104960529,0.21971718433675275
187.94592134841457,16.697526763831842,26.771511073271046,0.1504198131759154
193.1118804855635,16.483740484564812,26.57851013665323,0.1969278460108632
195.7414105794674,17.27593376612693,26.30945703610655,0.2002923832048972
196.24114033480953,17.942445691278017,27.112619504204307,0.192019732800936
196.24114033480953,17.942445691278017,27.112619504204307,0.192019732800936
173.1872829072126,15.427857381033318,25.634273092932276,0.15774974490952126
210.15194490993625,18.395833481393552,27.12227328031969,0.22903940972280212
202.58443186941278,18.78002399063623,27.062722469009113,0.20950267975538767
200.0504386682041,17.962745498801542,26.570724103353637,0.2070973618947268
197.6297438185951,17.79007812289232,26.53936219046542,0.2097565759772769
184.51654378532217,16.04782217215806,26.07178708245889,0.2379659214772811
183.1353081444221,16.024320020627055,26.52519979809685,0.2757260784202568
187.9350426557681,16.49547620173384,26.24847742834024,0.2191194588202867
191.20731930991275,16.882359777730933,26.49717991381787,0.1432031574170481
182.66449190841428,15.584655186358345,26.432939677188237,0.2186512840710926
167.89666905146083,15.437686806989328,26.28903113628339,0.2603810558880696
187.8010329606691,18.055094690616666,25.83945011390308,0.18417910324389503
188.21527217834418,16.286468686004923,26.461183524284206,0.18364434156364132
179.1939485708683,15.08315945668099,25.844661605056377,0.1686489738546001
182.79109818688863,16.59654686466804,26.290587979137456,0.2186248127375547
183.48452882515986,16.01926780080828,25.994930003437048,0.21667157658581163
189.9288932000185,16.62640459395613,27.118474243146505,0.17231224980250678
188.34534662988452,16.81193287985564,26.568195475882874,0.22472390883951546
191.39021680985888,16.570574540599676,26.10983250783992,0.235835117230001
195.04510550919827,18.579407761314524,25.242046718901207,0.2742753969104074
191.44123535853953,17.604716534110825,28.180179893499478,0.16335083737884196
187.57668215362312,17.270395740058177,27.95528638130965,0.19945877767946696
197.40173411120534,18.197474676095556,25.55224481453926,0.21926373523196302
199.81881843473732,17.863818274931134,26.826005826205737,0.27613423320416686
191.7162161761985,17.148639183617515,25.25372924468133,0.1961379887870265
167.32513116838672,14.449611463074183,26.830376368101028,0.32593506417178175
187.4161478332038,18.053055548469697,26.021979954573172,0.23133632379211883
189.86651956102077,15.671564807132837,26.071696335893837,0.17669602788677616
190.62614122887956,16.04106758814318,26.327233542973534,0.2311846427954272
196.9147938238923,17.008139887396393,25.66568702024822,0.21664796885967524
188.78981979424842,16.79628283151556,26.196876403142205,0.13147908571812622
190.17792303533975,16.95035818625216,26.82960438292198,0.18653180066143565
189.72407385883804,17.661120418339944,26.75923771250654,0.24013040589770276
187.0026646121403,17.139816645295305,27.68773738982381,0.2046970780876066
207.35999274817038,19.793207819110457,27.329536819540124,0.2009914305596596
205.15783743285763,18.287253627702377,29.260511350165167,0.3323921605988842
202.76753794939336,19.32819511308853,26.452513117543045,0.1937324613819617
204.30566220184622,17.9332086400793,27.106690732030827,0.17969988649320423
193.570151755515,18.018413858721857,27.353576111343628,0.18283699108394114
194.95450583731198,17.8627022580543,26.599002717773548,0.18319547107586714
199.33434426146667,18.129016023101073,26.678312589385886,0.15643422130783788
196.30155485578857,18.75316140553754,26.872608274576812,0.16339426276111113
198.2304899770177,18.253167274296946,26.981133573929466,0.1984856766910056
193.6881603168173,17.02223749911025,27.737496191930035,0.2099038855724393
195.82368920433885,17.922928212937908,25.65246949717141,0.16099963302518674
192.65799671934062,17.09735350676938,26.85054249678742,0.2687385888985196
186.50550569063245,16.33478472687071,26.39908117339227,0.15970646046145567
186.50550569063245,16.33478472687071,26.39908117339227,0.15970646046145567
187.71560165318155,16.50316456409511,25.683066873917465,0.20272508510679005
178.80393118475575,15.671009903878437,25.695730334464802,0.24166519962953698
177.66429041726659,14.733695058890788,26.94185890546469,0.2557850012680299
177.66429041726659,14.733695058890788,26.94185890546469,0.2557850012680299
174.72031619446102,13.960081123956696,25.636957991332938,0.38951688221432895
