model;AIC;AICc;BIC
constant;32.07060669;33.07060669;31.86236615
linear;31.62245742;35.62245742;31.20597636
polynomial;31.71068365;43.71068365;31.08596206
logistic;34.24928029;46.24928029;33.6245587
normal;32.27912412;44.27912412;31.65440253
power;36.55851606;48.55851606;35.93379447
