model;AIC;AICc;BIC
constant;30.35470435;31.35470435;30.14646382
linear;31.23753982;35.23753982;30.82105876
polynomial;31.28344013;43.28344013;30.65871854
logistic;34.61400785;46.61400785;33.98928626
normal;40.16196035;52.16196035;39.53723876
power;35.04625444;47.04625444;34.42153285
