model;AIC;AICc;BIC
constant;225.6774008;226.7607341;225.4235798
linear;125.802406;130.302406;125.2947642
polynomial;79.48596159;94.48596159;78.72449883
logistic;186.1607219;201.1607219;185.3992591
normal;113.1118721;128.1118721;112.3504094
power;176.3914702;191.3914702;175.6300074
