parameters,ess,rhat,ess_per_sec
a,5436.59439525958,1.0018661513228646,48.80684437794757
k,4760.844084831876,1.0000498414721484,42.74031856389151
s0,4347.870669252096,1.001415649178484,39.03286353579402
σ,4896.080317428737,1.0010436690863165,43.95439731958647
