parameters,ess,rhat,ess_per_sec
a,1136.6486804033686,1.0007380513643263,5.556553971467387
k,1642.804341812978,1.0016258359974268,8.030916805890584
s0,1013.7994762359782,1.0019048257002185,4.9560005682243755
σ,1129.16458234218,1.0039012815064225,5.519967649306707
