a,k,s0,σ
0.16756752092264107,3.803602948187892e-9,15.763220810161963,9.885090425730888e-10
0.6584920694390682,5.64857147562293e-9,22.798136743676846,7.766971717320665e-10
0.6584920694390682,5.64857147562293e-9,22.798136743676846,7.766971717320665e-10
0.18882712715618744,3.12808550841429e-9,16.479779485919025,1.0924164619010486e-9
0.28740736215525936,3.007509363341644e-9,19.0586874064662,1.1517126228013485e-9
0.8227858990489629,4.785042756840539e-9,19.043606149436645,8.567394878430954e-10
0.2926905786045298,4.800060542517069e-9,21.682664505033806,6.701732879581798e-10
0.563227033985958,4.182113099807907e-9,16.57398853116538,7.964735725089812e-10
0.5083298979492041,3.608373502082518e-9,19.34816268168568,6.23904811884942e-10
0.37910021203239924,4.4921347904962065e-9,17.71397435877235,5.864818972093773e-10
0.3913067444141613,4.612324797158333e-9,21.015539191921395,5.937265979433075e-10
0.38187333529645817,4.376206005803231e-9,18.285417994848707,5.88287059975206e-10
0.41723195374164884,4.440850979523304e-9,19.067537645201753,8.897666368639563e-10
0.6711659705540267,5.26526969163098e-9,23.61093693210416,9.04504828933866e-10
0.7482936296335045,5.332775736598122e-9,22.571570650618106,7.782121128581945e-10
0.26588281791509566,3.496832992352912e-9,15.528200604922386,7.715663183013172e-10
0.28473186987743815,3.3860616695797306e-9,15.379679179121574,8.636665507760695e-10
0.2656159532530912,5.776229584421713e-9,24.41841464440308,1.0586960629465626e-9
0.16406855189632844,4.791317274829433e-9,20.399997918352668,1.1526879961384403e-9
0.518422674251308,5.753179601427599e-9,18.75232442595017,1.3695370918445394e-9
0.7029737394015415,3.925140206408611e-9,15.52005633540811,1.4993449897665184e-9
0.5602157929281457,3.888130527540792e-9,14.776388972007068,8.636300729523401e-10
0.5496832197337531,3.844840273795823e-9,16.03702786900041,7.402236320501033e-10
0.814950992316937,3.824366747212312e-9,20.54571518137927,8.850110609455904e-10
0.22844537532446432,4.37474987480961e-9,19.683454122678466,5.782208933930699e-10
0.9365815518988967,4.528094810097581e-9,16.935475399819886,5.268570423916338e-10
0.9651300056395045,4.132622250975475e-9,19.48506061117376,4.2415376595493773e-10
0.9547706128442478,4.559058985024892e-9,18.174702079396493,3.382238447511541e-10
0.9706682907614713,4.68307376734764e-9,17.90463762990926,3.009001729721353e-10
0.2612648816618056,8.115053725482517e-9,22.768524315979096,3.708984852792222e-9
0.2711972648489065,1.2140647043032292e-8,37.55904113560097,3.5158126013880844e-9
0.05916015469654963,1.1726154891901971e-8,37.80183950092004,2.0846181743396005e-9
0.20493435973752233,1.0354116362074085e-8,39.569553933122904,1.8993841180225146e-9
0.13667239679020957,9.759230903624736e-9,39.57441328820479,1.515340248008087e-9
0.08105789471997948,1.0249398030266482e-8,36.28309944702217,1.440149367595866e-9
0.11527751600773387,1.1663344930733609e-8,36.769930153606914,2.568167537330997e-9
0.08754522314353756,8.223977870114501e-9,38.65897873776546,1.5475591293615436e-9
0.09335248785792578,1.012909479323729e-8,38.9397273656329,1.7382297677486126e-9
0.15532100812366353,1.1326121351544033e-8,39.28818145443607,1.7520705425554468e-9
0.0970372921370066,7.924049852674193e-9,39.31725255704965,1.8968320758938578e-9
0.17047103245497422,1.059058676653157e-8,30.556361094506,4.4643283791785925e-9
0.17235146707201102,3.6304342243355353e-9,17.277711062061524,1.5583626284685786e-9
0.5191034744233785,4.380820183222477e-9,17.876129796133952,6.811282235449456e-10
0.6767378844407679,4.19412944415287e-9,19.64878336158763,3.3996249988357537e-10
0.6650353628134068,4.356905890986953e-9,21.621339807228736,3.2503664509977783e-10
0.6977339417427767,4.4625854547310415e-9,18.036630533219487,3.177034529759802e-10
0.3366868347695512,4.1656502129233745e-9,20.688026690031705,8.516824821651183e-10
0.3744381371201148,3.841360312409637e-9,20.340333910387773,7.455506705906226e-10
0.33677830502982214,4.9406293859143115e-9,17.88511822863186,1.2270851385305542e-9
0.3640738233610405,3.4419374062200287e-9,18.24881943840438,7.527917608650012e-10
0.5098098549265916,4.744216543352925e-9,15.604986242929325,1.4214349984469496e-9
0.4585158743856763,4.969856506736756e-9,19.036971683506493,1.2881517427677435e-9
0.45611963773810166,4.122571490713094e-9,21.296799096777885,4.783907124170117e-10
0.3764699254138161,3.9760900167814474e-9,20.340956240805184,4.967326080769845e-10
0.5150835212395897,4.051345478846095e-9,18.404978339121097,5.144781142560407e-10
0.7150762985451706,4.517330702431773e-9,19.966284067842416,5.410456294699371e-10
0.5006737355055666,4.259000645088162e-9,18.672436534732114,6.875655178463534e-10
0.5025778604806028,5.598864216789867e-9,19.857211867029687,6.392717648669569e-10
0.44063466562740833,3.510587309017406e-9,18.59225097833795,6.566589264894593e-10
0.5403848527973603,4.076344848369838e-9,17.533125621351964,8.601963961109722e-10
0.24817997404246994,4.818482274073156e-9,21.200503972553907,7.707591032201483e-10
0.14236780230975607,5.010136324772869e-9,22.409219257338147,7.23391095017207e-10
0.25887842681391043,6.245337926663965e-9,21.23204393748999,1.4011230038243105e-9
0.3271300916596986,3.755844351521677e-9,19.346757562450712,8.62357619221435e-10
0.3505288386956898,3.916072673907829e-9,19.713996685258234,7.965822920330294e-10
0.6029237503732786,4.464891438803802e-9,17.77111859379316,5.348698524150868e-10
0.6192419131075242,4.879857892179229e-9,18.544856106644257,5.167339544420182e-10
0.319986575051802,4.076173383121136e-9,19.96998181465483,4.872136310602555e-10
0.42716342305468086,4.053414629970624e-9,15.341302269224547,6.644492991433413e-10
0.4976009191459087,5.025122470816103e-9,23.03807148426153,1.010963346030657e-9
0.5915831996447655,4.802123601507018e-9,19.434408057536874,7.15249847851697e-10
0.6212460156583924,4.890799193833104e-9,18.860593747508386,1.5454994886903323e-9
0.2988324088770521,4.276980504028818e-9,20.977850391651103,4.607864990355628e-10
0.6793231910940964,3.925170552993729e-9,19.63651741192772,1.5062435218271792e-9
0.12608743705570777,4.870119814726219e-9,16.863428922432057,8.517929222459983e-10
0.6810490123348317,3.596495678487675e-9,18.18828508458451,1.4250033282298026e-9
0.679194069493268,3.501864518016804e-9,17.74812794886553,1.449912698230948e-9
0.39342732336758607,3.7942376159339996e-9,15.815191912132851,9.687374011513385e-10
0.6473573632751393,4.099524661504401e-9,18.527433626428884,3.666550209661869e-10
0.5242012735944515,5.152344348945739e-9,20.060284999113637,8.356570531791054e-10
0.6120534812386043,4.234975838762219e-9,21.050621978591472,6.381434911389675e-10
0.30289055671708215,4.4451805174194e-9,15.081951829880921,1.1255639593370218e-9
0.1900939217979604,3.4906731186966935e-9,15.487870405538091,1.1394043055567844e-9
0.9245166313708123,4.6513944998707015e-9,17.475356229918543,5.230392354519945e-10
0.5610921038813251,4.503893671382918e-9,21.265360118059267,4.091128042813731e-10
0.699774582929145,4.195380046502183e-9,16.62323101971142,4.200883098400323e-10
0.8213650483468414,4.167078201894187e-9,20.504316589699027,6.582381702524738e-10
0.7322821637174088,4.782443648263125e-9,20.825721104650608,3.804794010524803e-10
0.7035357100240454,3.9180331405786045e-9,17.95425868514313,3.727195940591477e-10
0.7160293853172954,3.967426137556092e-9,20.002296329143213,4.826310363089999e-10
0.5568997015268077,4.564923453436054e-9,19.67300272103916,6.209804847403764e-10
0.5837088732580593,4.07139189481377e-9,17.578301253973006,5.925314977430264e-10
0.394532357853307,5.5135887362749794e-9,22.429668020687952,8.898474596210456e-10
0.3861378869519509,4.795552867922119e-9,22.979706518552867,7.662786309544842e-10
0.3492284128918574,4.783079287773489e-9,16.93565161379822,5.651253702280457e-10
0.7631569038291461,4.208933982875807e-9,20.30071405702807,4.779191939530672e-10
0.7445422905061811,3.659245688900386e-9,16.317234685679487,5.365921059709467e-10
0.7642860762547673,4.136856465080473e-9,19.108707304455628,8.395441619510324e-10
0.9329656740141985,4.2458477127482295e-9,18.77769168185441,2.619650541173359e-10
0.18117098861403375,5.193343696250372e-9,16.76797261467238,1.202367605385482e-9
0.43231723428577834,3.7980108228812696e-9,16.422493606251397,7.809531517426942e-10
0.3194114350167889,4.467852835635285e-9,19.259300617803174,1.1084239215613686e-9
0.2729832956131955,4.409719067760622e-9,18.77543393362755,1.341461786851603e-9
0.43411182566221546,5.3364514522359285e-9,21.516169720139835,5.623846006516473e-10
0.5054029272429376,4.893097458633873e-9,22.014063982727546,7.654707591909488e-10
0.39778014592939875,4.146946836496084e-9,17.467957662030546,4.753104371366952e-10
0.45745950831395504,4.452403081568788e-9,18.880015879299528,6.951119261329961e-10
0.5721418844074585,4.10919581793177e-9,16.8660309942595,8.666067455767301e-10
0.2880737388399881,5.437914633434288e-9,20.074130711333954,1.3075216720652816e-9
0.5246794968238705,4.502486731522557e-9,21.714829510326496,7.053547433081844e-10
0.6780033836858148,4.202695568815484e-9,18.4678692313217,4.472383864697321e-10
0.6775784186821314,4.13532756217492e-9,20.030750480673078,4.541883563597602e-10
0.7302374745133858,4.0127546733008545e-9,18.11092477496294,4.1297076479163674e-10
0.6645029211330428,4.02082857365598e-9,16.725798945665122,4.0678374072009157e-10
0.6886154899781542,4.3414749939319724e-9,22.18590434579322,5.446713178258445e-10
0.5663314258675984,4.360064220099086e-9,19.899502634410574,4.3601471463409106e-10
0.46372197466000137,4.918721551986517e-9,20.185330853406725,1.2152670095807987e-9
0.24195780406723708,4.390367973249094e-9,18.098557176273793,8.884070500478165e-10
0.2303867065304288,4.798971427671877e-9,15.552111648517462,8.71449119528105e-10
0.27978168888699795,3.1891790779104578e-9,24.392696671847187,1.3338341506407378e-9
0.19945097161891637,5.433572220445377e-9,18.934912001951027,1.206477645566903e-9
0.3057106119444369,5.229857897500483e-9,21.76290575994864,1.2217303570917236e-9
0.4529364177904124,4.702994060562401e-9,21.831850298971393,1.1146831950800686e-9
0.5375790555010547,4.174423127502129e-9,18.879797799827173,8.666087720777933e-10
0.6520393267564736,4.114371880140458e-9,17.433957716181617,5.320654667508879e-10
0.6520393267564736,4.114371880140458e-9,17.433957716181617,5.320654667508879e-10
0.6520393267564736,4.114371880140458e-9,17.433957716181617,5.320654667508879e-10
0.7241706583267998,4.3971162679220205e-9,21.591126994448164,7.795469670889325e-10
0.3607427251165442,4.675069976007184e-9,15.263706121185072,1.0312926645288342e-9
0.25973330994223875,4.655371605561695e-9,17.998225291655725,6.303378609068804e-10
0.9279783767001972,4.328436713087751e-9,16.608638798075297,3.333264135850768e-10
0.6571541025215953,4.462590905544005e-9,18.800858912133187,3.034402864264083e-10
0.5586383985774753,4.319827129396965e-9,19.951930940493664,2.8909878355470757e-10
0.4974114488230568,4.441821530379065e-9,19.680514203067414,9.53516141953537e-10
0.35053358787335975,4.009114361608573e-9,15.247295414420563,8.762257905910744e-10
0.2594943288630477,4.258288862994277e-9,22.18366817165072,9.994699659101843e-10
0.16162238621289488,3.642188186666547e-9,1.9927626652077566,1.5408128673789293e-9
0.013448993063769458,4.001932173794602e-9,1.5501024746282437,2.9384316542051003e-9
0.08237796408801294,4.204865238201467e-9,1.819539289480136,1.5548020386987366e-9
0.10560136987179003,4.741811959316608e-9,2.593998469536338,3.127349245729944e-9
0.15016120493294371,4.717302028902719e-9,2.057855868518455,2.538563930098221e-9
0.05592987553643529,3.5886980891732584e-9,2.0829542727608787,2.9328896529366753e-9
0.0575820959736128,3.346273041932233e-9,2.0709494460421114,3.430567105655439e-9
0.3258904220391082,3.510447624367761e-9,2.3473440430457013,2.1550258615566364e-9
0.21629256535589914,3.743754454471692e-9,2.993742192975614,3.563279838289472e-9
0.12373744316403522,2.660479427275074e-9,11.1748501745268,4.569125046921864e-9
0.46016577792608077,3.366300700022454e-9,16.578304622962584,8.008893215548025e-10
0.09449342263384067,9.216222220303849e-9,33.12744743544983,2.6117075419979655e-9
0.13825282258630833,8.97730695493041e-9,33.20724502930554,3.851295048112342e-9
0.18810201090706188,8.22050714891792e-9,33.60216765527865,3.772809267459379e-9
0.058823776586294105,1.1229970990473246e-8,32.3487298804855,1.570473380490255e-9
0.1155766897212152,9.59121425055208e-9,33.98638134682067,1.5272206169167489e-9
0.1151638790453648,7.627813437213121e-9,31.405945831756174,1.2278211665675434e-9
0.10810216578838104,8.17560671843236e-9,31.929458209033154,1.3573459746848173e-9
0.20134869763433166,6.63217795590336e-9,25.83382988687867,2.010885763705997e-9
0.09085483008620897,7.239560739336968e-9,29.146374311752858,1.5796377664786987e-9
0.07727240110498564,6.881229375899444e-9,26.098567111790054,2.1947315723026877e-9
0.073425178570913,6.25120129447594e-9,28.010925572147812,2.047422804486043e-9
0.0701970266108712,6.345646301550182e-9,27.253123263093652,1.952310882940802e-9
0.14419092067145484,6.815258935792243e-9,26.628683218093652,7.614324954329152e-10
0.21477170893812986,6.870187172771938e-9,36.85241023355496,2.2003813600900316e-9
0.24280785511726422,8.47522005244149e-9,37.51322364673332,1.9486222624643575e-9
0.38380504575388075,9.892759475441706e-9,36.24655251762209,2.898157025558273e-9
0.05964837768138039,6.923670528712204e-9,32.979559214787045,2.3390268283591103e-9
0.0633188762448122,6.840360708594552e-9,32.83843622811359,2.0127497876282364e-9
0.25344670085847054,5.873060274767256e-9,26.497602121265505,1.0458752961160089e-9
0.20847936923561997,3.2630258069245836e-9,12.679456718932865,1.4645649745678452e-9
0.2392435825684362,7.52981436386469e-9,24.679044700179652,1.7666948736794708e-9
0.14314174613839944,4.848971981021154e-9,21.609964641538568,1.37833021925112e-9
0.17933024529511504,5.569078327695979e-9,24.54191942130494,1.1106264249550882e-9
0.1254899629194858,7.455506004139126e-9,28.944382402919686,1.5312763530711657e-9
0.06344330176261906,8.150436675709984e-9,24.68666173019912,2.1308660749138294e-9
0.07811172235824364,8.135528512972276e-9,24.436143575054192,1.8551357092635592e-9
0.036954881419526416,7.611159885677514e-9,25.700397751273133,2.1275531507256106e-9
0.3600917164582747,6.2255232889384016e-9,30.81562999812434,1.7779980489056362e-9
0.036139843832506166,1.0226999155083475e-8,30.051097830043012,3.5433737149119645e-9
0.15169412163178042,7.680147457060177e-9,15.652693394466322,5.4257295949302166e-9
0.20396308350991388,6.551477781334022e-9,26.966812195000955,1.1127185958996742e-9
