parameters,ess,rhat,ess_per_sec
a,5802.482506063187,1.0006228619219213,2296.194106079615
σm,6038.440517860899,1.000705021955608,2389.5688634194294
μ,5817.576490757153,1.0007134154250898,2302.167190643907
σ,4146.208715711243,1.0004695606200487,1640.763243257318
