model;AIC;AICc;BIC
constant;13.68571122;14.68571122;13.47747069
linear;5.71022319;9.71022319;5.293742128
polynomial;-14.60468309;-2.604683094;-15.22940469
logistic;-1.502714891;10.49728511;-2.127436484
normal;-13.98717703;-1.987177034;-14.61189863
power;2.280628806;14.28062881;1.655907213
