parameters,ess,rhat,ess_per_sec
a,4338.06162997927,1.0002777634676847,256.1444042264567
k,5086.043871678983,0.9999352897144476,300.3096287009319
s0,4106.648601133339,1.0014201564761924,242.48043228231808
σ,5039.64967556808,1.0004074207981513,297.570245368923
