model;AIC;AICc;BIC
constant;6.202803551;7.286136885;5.948982631
linear;2.869462604;7.369462604;2.361820764
polynomial;2.003955553;17.00395555;1.242492794
logistic;2.816305174;17.81630517;2.054842414
normal;6.441469884;21.44146988;5.680007124
power;9.675628898;24.6756289;8.914166138
