model;AIC;AICc;BIC
constant;58.03306457;59.03306457;57.82482404
linear;36.22315579;40.22315579;35.80667472
polynomial;26.06296945;38.06296945;25.43824786
logistic;22.96559386;34.96559386;22.34087227
normal;21.55796316;33.55796316;20.93324157
power;32.40805435;44.40805435;31.78333275
