a,b,σ
-0.005598064096332234,0.410180991214354,0.07471139630813016
-0.005411185156631859,0.3424383504518497,0.08356796815601819
-0.003587929820567215,0.35951322314506184,0.08880522592165743
-0.004866138529991737,0.38159735271890116,0.058143330872647773
-0.005755815149987242,0.3760267598698706,0.07681117383341486
-0.005686435692274117,0.3806781659948477,0.06906963843329032
-0.004504998272912619,0.3504547779002973,0.06872935376086206
-0.004950864588152193,0.33902392192571384,0.055710588543888925
-0.004867565871077506,0.3578543595375081,0.06610826309273446
-0.004412205181409945,0.3495148845750361,0.0827437301582833
-0.005340661600463648,0.3387226986027653,0.07929001045448404
-0.0034106470295802715,0.3911008790207956,0.08135235004205071
-0.0021025713724500683,0.2593999730299969,0.06863929479169179
-0.0019859040108447523,0.2836899195156867,0.062091047392233985
-0.0022174775136329927,0.291929180375535,0.06079387408486149
-0.0015545805120753542,0.25890872458329456,0.06290253598139252
-0.0015545805120753542,0.25890872458329456,0.06290253598139252
-0.003371919514096433,0.2780724489397836,0.0655969497940536
-0.003383185290848356,0.30649017688526664,0.06942831590018436
-0.0019433542916122981,0.2947078233834576,0.07365528728549703
-0.0032177449502883704,0.31180302219674216,0.06204565066595647
-0.0038418338479750958,0.29936912959825757,0.05811988709237768
-0.004332844695639881,0.28109093532964546,0.06339382297077861
-0.006191510699867564,0.3498283335395399,0.07272747506838317
-0.003494273641241108,0.3177569820563013,0.07009764371013631
-0.0036002639742576115,0.3332847410638251,0.053571357887218354
-0.0051118553804707645,0.327623249424888,0.05174647177233427
-0.0059512754245805155,0.41027809886075717,0.07635219991792919
-0.0076511516942696645,0.41890417409409786,0.08343653311028106
-0.005111415686217313,0.34010244937316236,0.07015503891808458
-0.00388936540179019,0.308647064761145,0.06838636485201333
-0.004508537691476189,0.35365941473414836,0.0571641736986182
-0.006240833990680095,0.41257545956060265,0.08375430236638538
-0.008812939046459078,0.41872745941339257,0.08083115979308671
-0.003120663985314742,0.3421196179365149,0.06411908929810907
-0.007155049527518109,0.38168298962576436,0.06409061609214835
-0.0034790705769136565,0.34598530705592906,0.06832914016856506
-0.004621425545854763,0.3319594185024308,0.06732921741607867
-0.0036478054684390138,0.31366023116940145,0.06962787277974311
-0.004462181348743766,0.33252707840535684,0.045372299743957394
-0.004462181348743766,0.33252707840535684,0.045372299743957394
-0.004462181348743766,0.33252707840535684,0.045372299743957394
-0.003148224730353366,0.32733841426685323,0.04430341300381822
-0.00725860958510971,0.42173897874725746,0.05719817021892832
-0.006351978029523586,0.44525611206838583,0.05649027148565316
-0.005986876941630914,0.3746223293751445,0.10002561697183614
-0.005594727805229294,0.3973410980851153,0.0818334273962335
-0.006197251518734959,0.37799001163747414,0.06932057319675469
-0.004963321575141677,0.3320690724363241,0.0638988891809858
-0.005635316357663012,0.40299731496804414,0.06989458641718994
-0.007696604444511035,0.4107722951854974,0.06887696463810189
-0.00663435109150301,0.36958119582556276,0.08421186266135854
-0.005503885263664632,0.33436609796318545,0.06413789045338426
-0.005670348382090573,0.3529102552530418,0.09398335120578992
-0.005070710877340456,0.3701725663409683,0.0987890563008134
-0.00437495835949564,0.4018851200952502,0.09297721885295449
-0.008542137502864477,0.4978020045733545,0.08092431939494671
-0.0014929050794227905,0.3221186890603732,0.08082867024090691
-0.004647861335922876,0.3284999634888781,0.0839898492506366
-0.004390774385810481,0.3360481347727507,0.06952146741352054
-0.005645128260476362,0.30297578321020935,0.07373338559307809
-0.004309166180296309,0.32092231846250885,0.0540497667622708
-0.004078526047371245,0.3395776740193111,0.05847672058229559
-0.004327920407944941,0.36576608969134733,0.06070016029903653
-0.005812818021365906,0.36706255086262746,0.059675547528754626
-0.004382521791715277,0.3567018063115604,0.08221386903348345
-0.00349391746113481,0.32432620788718863,0.068503084030617
-0.0038638068410494775,0.33172513900981154,0.0767382109417681
-0.0038295687766165543,0.33463932860513707,0.08079886635513811
-0.004560076105971866,0.34278323178528913,0.058817327481802066
