parameters,ess,rhat,ess_per_sec
a,2381.1543683800933,1.0040015182922155,21.600710921033187
k,2609.4251773899,1.0007209081015753,23.671476186237584
s0,3374.3834763024047,1.0010015340857445,30.610817583366487
σ,2680.466908927693,1.0003653355334554,24.31593331453434
