a,σm,µ,σ
78.24140983753101,11.955615340158186,26.291538361566708,0.3385366806812497
76.37232851348472,10.662080644538435,24.176642484028186,0.24983312664706853
74.40626145822209,11.351797745294425,24.357675209637286,0.35558727909157084
68.17863481024823,11.025079150605889,25.51871774360686,0.42785813648359916
73.41735394048104,11.82750001689035,25.461267935151024,0.412668876126904
67.85437359211322,10.792394157152673,25.311457674916483,0.4241434340195541
80.50131519645322,11.214271505371997,23.287253953292737,0.3312198330771072
80.29070604601236,12.885454089804723,25.68095821012301,0.47030666720042213
79.5780908174284,9.568084196404422,26.00765099279197,0.31793831781602494
69.41954256012514,10.469744816213822,24.868151517647387,0.5023160000565996
73.03157280460128,9.732164519188306,26.225009234685373,0.24916814919627014
70.43215766895732,11.20115275824472,25.4271388004617,0.2911341263086706
82.72751260054201,11.031688450091771,23.910528373949663,0.3156217857574306
58.40026313791519,11.872484995263873,26.353023491378924,0.3970397368846029
64.25681972526019,11.120145744463633,26.707677792813573,0.4634790237534103
72.68556817898748,10.77057005247828,26.449576707036325,0.37632009704800756
77.52319305662236,12.110164307546246,24.570304582432104,0.28384591125224506
75.45007084896304,10.255214676342108,25.0479335435787,0.3105454096292773
75.45007084896304,10.255214676342108,25.0479335435787,0.3105454096292773
70.72819457268068,11.387080739482048,24.98882214393129,0.30399524304537434
86.32053639361541,11.556166808076313,25.242529453011542,0.28954051761756355
56.11451157811428,10.534161976006809,23.297918268710436,0.4985516680902822
74.67338284832195,10.0948063206539,25.811057780973265,0.3426377837270872
61.98278702010053,11.316069152217004,26.3166893022833,0.34905221108152423
80.93473522674373,10.735331083131042,24.240560082156897,0.4043770439938054
74.83729336849812,12.200761900895108,23.14606730909833,0.3539000087813106
75.08648366721822,13.556625323120805,24.28980357508121,0.46599972286540914
65.38698774186265,10.68682516780934,25.55246924801942,0.2436277781629399
65.38698774186265,10.68682516780934,25.55246924801942,0.2436277781629399
67.99958651769424,11.192367778802902,25.393979473439423,0.36262451481684393
71.83194254134966,10.163336095735318,23.304198100868007,0.45381070986018845
53.53215056860419,9.433973208551782,25.44680826472425,0.41669584814075883
84.32723169468073,13.445410618390456,25.720039471284856,0.2899302973891588
67.62501488464586,9.605209187835252,25.104242035254902,0.3385843296047035
67.97857845143957,11.09572353237565,24.185102916605032,0.4041190123431818
68.00892731095948,10.008196891066737,25.564399935129742,0.3241515350442172
82.09274607414983,11.952246195164376,24.788558394709327,0.2965711742263933
69.02184115448858,10.749797321375722,27.25336909866903,0.3279424689169325
72.98647618230459,11.340810175032274,27.356924143214563,0.418598268178643
75.25209620410467,12.523046649662245,23.97229404034306,0.32577319132448423
78.11088264612218,9.533694319296718,24.229777483673875,0.4173131666638173
64.11300252717275,10.296005058890676,27.772860743766646,0.3679245029475533
69.27372788993527,12.100988388535631,25.235669936893196,0.37952644665394275
71.44205313796006,10.549300713979516,26.271118563724126,0.4258501095073488
68.2662819933987,10.200895367172413,26.250742492315823,0.2867159356548228
66.81139066378319,9.222260527258912,24.58569183246143,0.24495402089186505
73.92072985094968,12.241114700432101,24.12741648336016,0.5154072670821105
63.08159056060669,10.240954837068836,26.015255560454836,0.27918312095402514
75.98419182837962,11.115871648071348,26.109845159295784,0.24000855936679374
75.98419182837962,11.115871648071348,26.109845159295784,0.24000855936679374
75.98419182837962,11.115871648071348,26.109845159295784,0.24000855936679374
64.6397061839057,9.578657100031133,24.808608309249514,0.3926431856789496
76.2446349947863,10.491409856928103,25.198563192742427,0.36050471004504553
66.97687384364822,10.275182481015616,26.200224158677234,0.31359474590997216
79.1988274530855,12.254862976981016,24.190914497323927,0.31087456676095526
84.76558207818786,12.288069248777377,23.80133670799202,0.3281081975730953
77.78450303098465,11.78239176663734,25.192766989311508,0.4535162148012381
82.81346443401685,12.891563286823255,22.87069413378628,0.42127693078090467
76.38429256757789,10.325112225749612,25.163647553899636,0.33702271953783525
76.38429256757789,10.325112225749612,25.163647553899636,0.33702271953783525
72.40557197975203,11.804311060101146,27.0390548089154,0.27725357142504936
84.73746050845378,11.06790006511161,26.38589264946364,0.29650565279686536
75.2576608197938,10.807627211632527,24.744025509313545,0.2780365026729928
69.16559617570756,11.257602245752787,27.416338017277937,0.37957552270816475
69.56181293971292,10.82517876532201,22.525097956905004,0.3786156778696303
62.08562464083694,10.488654379815236,24.05691405601047,0.4392948492521956
69.26765340456987,10.241519785316866,23.932929084800172,0.3070243687340408
66.75285308457288,9.348987151751771,25.36898571219499,0.30695450968123456
80.85544658480009,13.007506392012747,24.68273241719887,0.3378825457020053
80.85544658480009,13.007506392012747,24.68273241719887,0.3378825457020053
77.62991923279415,10.72101991250948,26.47824670154338,0.2393137330453939
71.60514569243725,10.844908123047052,26.148733048540826,0.2133211031052987
71.60514569243725,10.844908123047052,26.148733048540826,0.2133211031052987
71.60514569243725,10.844908123047052,26.148733048540826,0.2133211031052987
71.54046405758574,11.510428233162944,24.86141344766783,0.2744083979975851
71.54046405758574,11.510428233162944,24.86141344766783,0.2744083979975851
69.83022720480498,9.073251495067593,24.739938903983717,0.4279978558781004
63.483699611602965,10.707887324958477,23.473847923861292,0.3305803435807948
75.80535723929536,9.75056172518322,26.020591026807256,0.6340441489899197
71.63155227736235,11.133485708031658,25.97587153003857,0.491232297306857
77.54001130542726,9.08711248560941,26.67465381187569,0.3393650987251629
79.75746567720948,9.768401291515481,23.33101729697094,0.4120485443261432
84.04303693647547,11.880472040816636,26.121705817753565,0.43395563257378306
66.60244927895668,10.768574923443902,24.734750341634683,0.22471914730932524
65.87379109740723,10.318392216077328,24.347261363133057,0.26524680648032484
74.50918071131267,11.399446642466456,25.690753643425857,0.3428267810399373
77.82633106102205,10.693907182152207,26.034135742149846,0.4003382205669591
72.52816403728384,10.794936635276988,23.42986816089778,0.3660286756352428
66.84443661356346,11.725624235279113,23.31133314671188,0.34053543728986846
85.61562257813215,11.353132157725472,26.092119729130225,0.44375919885186504
81.92855503006712,12.71738865762057,25.220263246772905,0.3081764314393361
85.85109201864992,11.714274484994327,25.48299121088228,0.32479020647055695
85.85109201864992,11.714274484994327,25.48299121088228,0.32479020647055695
80.04813830200763,12.60997378752972,26.194746230383814,0.22389283861901468
80.04813830200763,12.60997378752972,26.194746230383814,0.22389283861901468
80.07693604046234,11.476961282937523,25.245799865914964,0.4896934703852007
66.22647350938014,10.565685899696986,23.082422436036513,0.28213164575327254
66.84706315416346,10.943933675947898,23.28689134567025,0.40998994820594836
69.25144028399014,8.923835950546447,25.49968017129821,0.364473707425359
60.51846974524163,11.53509962368315,25.56544168089996,0.3466700006417121
63.69747311092863,11.49153278298149,24.978590900863967,0.4491618077950627
73.61425418411254,9.174566152121038,25.694121393288818,0.22952213295396615
73.61425418411254,9.174566152121038,25.694121393288818,0.22952213295396615
77.74386912250768,11.400849687796418,24.12041582028603,0.181390475578293
77.74386912250768,11.400849687796418,24.12041582028603,0.181390475578293
77.74386912250768,11.400849687796418,24.12041582028603,0.181390475578293
67.47913921261562,9.748790547194723,27.503265415337744,0.5638674934409789
69.69768073853217,10.867345933979827,28.369656731907746,0.4722404105751337
71.22898803236755,13.432632172957744,29.05834185436896,0.4191713747285063
72.75744401955697,9.715939448167639,25.09644396401095,0.291722391125876
72.75744401955697,9.715939448167639,25.09644396401095,0.291722391125876
80.37340038488276,11.893289273649033,25.114714804395224,0.25917014417949996
71.66110820122096,10.992369069900898,25.81041411747211,0.32653304213644063
74.97093276601231,10.989649750323027,25.647201187142045,0.29899728427986183
74.97093276601231,10.989649750323027,25.647201187142045,0.29899728427986183
69.14901635907398,10.167911660729207,24.349110663960353,0.29244507740266573
64.53439205755336,11.063920230435052,23.223737413076485,0.43496244149565033
73.20088026698691,9.822268065070379,27.64623465667465,0.37239379646215764
74.27689933087804,13.449131515010725,23.08018031718789,0.3300026240771312
75.65357848539294,11.19181501569642,22.896974593648814,0.44193242913688996
77.62795732054327,12.54876226733839,26.36214924670041,0.31532212323934616
80.28109964918927,11.173953846551056,21.766724347953716,0.4868535044410544
55.48059334701298,8.96585644375704,21.876902365660648,0.43868590584130035
65.06775322564773,11.376623235180487,25.83658309208188,0.4664231426291933
71.5879320494101,9.356408134111856,25.353716532142435,0.2860598287621877
76.81632905267115,10.199329912720335,25.165528166359366,0.30766188106014897
75.9992163038087,10.2736385592195,23.47871717678546,0.24773072057451012
80.24012780954907,10.261373338806509,24.390867390609053,0.3186373553031979
75.98764030924298,11.312451358630934,26.23158777028872,0.2088604787958801
75.98764030924298,11.312451358630934,26.23158777028872,0.2088604787958801
75.98764030924298,11.312451358630934,26.23158777028872,0.2088604787958801
75.98764030924298,11.312451358630934,26.23158777028872,0.2088604787958801
68.64797268789343,10.660881769850846,24.16137880713548,0.28241936753234914
72.20376205400456,10.121325587119227,23.7131009575609,0.27050149341381086
72.20376205400456,10.121325587119227,23.7131009575609,0.27050149341381086
68.19772770386939,10.711656808645795,27.398462364162693,0.3676600913692114
65.30716030357387,10.591963135294542,27.690063520504705,0.38364477757475524
80.58579025611574,11.393546691419056,22.426118613783203,0.3204040637142355
43.32890794857897,8.545732519528372,25.310329620228813,0.48213342340191834
