model;AIC;AICc;BIC
constant;26.83861397;27.9219473;26.58479305
linear;29.84054822;34.34054822;29.33290638
polynomial;13.63685946;28.63685946;12.8753967
logistic;23.67175784;38.67175784;22.91029508
normal;12.18080155;27.18080155;11.41933879
power;26.88487343;41.88487343;26.12341067
