c,σ
0.26295544863308623,0.09746550559818067
0.23540670006543613,0.08070045859772293
0.24713650885763605,0.06049731840855957
0.2510371692777006,0.07552349715477484
0.2586399605542758,0.07002038515126946
0.25739860711773055,0.08610781010958471
0.2917204917982832,0.08669045707667478
0.2917204917982832,0.08669045707667478
0.2917204917982832,0.08669045707667478
0.27305773224861163,0.08482275520771206
0.2542439146261197,0.06425374884369263
0.2452295251716301,0.05716654203255272
0.3150630745350381,0.08050009125460976
0.3150630745350381,0.08050009125460976
0.24390420415951158,0.0942285354268307
0.28668445910631796,0.08860155091570505
0.28445688426311017,0.09001721669785707
0.26829267297749887,0.08344251853573582
0.2651214853417258,0.06436850015348204
0.2651214853417258,0.06436850015348204
0.2630754968925456,0.06670010848209876
0.22466439708702118,0.09012903646180406
0.24371574715701907,0.08570179483844367
0.26652813360635214,0.05839727580923527
0.26652813360635214,0.05839727580923527
0.28446678742767056,0.05304247356812837
0.22171855222722298,0.07680114977589542
0.2793770651602099,0.08242772245167683
0.24302745620745556,0.06747938880947135
0.2631133556302543,0.07765055862328887
0.24203883366739132,0.06808751678742836
0.2552486289946632,0.0725310537714685
0.249982329578706,0.07955059847057881
0.27003922768619326,0.05996516405963317
0.28451361688768984,0.10012560540481119
0.24758686718430437,0.06642242494933216
0.27096981347751103,0.0712530003129753
0.28082936793624474,0.07742523142048326
0.2657693191412925,0.07072363720213032
0.28663583747864624,0.08335785818332711
0.28663583747864624,0.08335785818332711
0.2588816487456091,0.09271327678826438
0.32029395854363923,0.08449716248545823
0.3103117440638335,0.08068942521758549
0.2326068606371703,0.08472191269323866
0.23275339862464872,0.08447020158576427
0.2659705158322654,0.051608253884621404
0.29559841467559,0.09011082485520125
0.26038087304332497,0.07466378069781804
0.2695639224028879,0.07885619904378142
0.20172770692350994,0.07874792978781898
0.22931779732505764,0.08134392386459939
0.2269185407245371,0.05336877262173097
0.29083056782881417,0.08156178458714126
0.23812882723755296,0.06971332513654825
0.21779699285826212,0.0671713742030796
0.2981355882498486,0.06175386392511249
0.2981355882498486,0.06175386392511249
0.23447388142365272,0.09932101905450862
0.23380879905198562,0.0643641217974163
0.22516408121938128,0.0658006769242217
0.2858400119210244,0.069870438582043
0.2858400119210244,0.069870438582043
0.2828477004090619,0.07185470406529279
0.2776844478240734,0.0863295587347965
0.281631068300384,0.09592885360597339
0.22622567418639083,0.06260140090076853
0.2752704475463943,0.07157005886218663
0.2666220898991248,0.054220014148440604
0.269563816747408,0.0819714681698943
0.2748895684775108,0.07024459296930725
0.2627799771350542,0.06887812939242437
0.293371470242891,0.07691425843487439
0.22337679692701787,0.08098768261596649
0.2319476972037342,0.07425065348990983
0.29575010523455836,0.06512080652663849
0.22022736319479705,0.07812900805355848
0.23940309571773907,0.0855286633608609
0.24944198492601652,0.08448741761148472
0.24252874771085833,0.08732984408220662
0.24933885471508055,0.06490623895323169
0.22324412515496064,0.0866859476729726
0.31374943789407694,0.0832054302749966
0.2869400744344708,0.09193327161545439
0.2517270198845124,0.07221064704952566
0.2843781466279472,0.07512275979686123
0.2843781466279472,0.07512275979686123
0.3223126964389627,0.09557445210642766
0.3223126964389627,0.09557445210642766
0.30167450146734026,0.08670905982263762
0.3185858652350882,0.09684992855814162
0.26153251017964263,0.07846641519714659
