c,σ
7.351992446584904,8.215641624067919
6.551031442084855,8.527056684390757
5.623261038693709,7.251034268633339
8.426057162934985,4.408335367843297
8.522651815646249,6.8181311720918325
5.654634010945001,7.704209646730579
5.659080023432724,8.733126368567577
4.41681529951798,3.8134177781573286
6.565994197489873,8.763492646667746
6.0279965222768395,9.505913152733068
5.705061573582113,8.794314207798058
5.3067470623716675,7.194806554346256
5.074201723413272,4.899646423914069
5.074201723413272,4.899646423914069
5.766421418563994,3.935753734796367
5.766421418563994,3.935753734796367
6.656546171239879,6.3439798313469185
7.040375755656356,6.158169061599197
4.714531660646858,6.46290889403058
4.533295891546914,6.5094332517367315
5.487733430550098,6.58150055533366
7.504747936076496,5.195287952130666
7.942594591855685,4.463773088356372
7.414450653423366,5.234771601252061
4.665533429887403,7.754454599899355
8.396139285425562,5.712051266279716
8.268859958568175,7.223134291182747
7.940416864876584,7.047160630968154
7.665525478762989,4.6516469287052225
7.665525478762989,4.6516469287052225
7.532384438061922,3.7249044719162705
7.532384438061922,3.7249044719162705
7.683623289988456,5.977568932459409
9.360525495692261,5.384727218277571
8.732349406982712,5.0459115905206
5.7541195612752105,5.794927613841776
5.923800708790582,6.100693705970663
7.097927410292082,7.725641207045583
8.776791700078887,6.438948428979105
8.776791700078887,6.438948428979105
5.673944926551974,5.159066301463142
5.673944926551974,5.159066301463142
7.826964355136499,6.349183150282606
5.218452610936829,5.165053109836216
6.662372500359958,6.366397360970564
8.099933637245126,4.48887079077361
4.919483154231804,8.411893075186336
7.609138236695035,5.7101182875208965
6.921065053738636,5.381608203407988
6.983648879628424,5.753556158657562
7.559176094812689,7.6169921514217585
7.765987122625619,5.450880098971296
7.765987122625619,5.450880098971296
8.216673237474161,8.098333662529587
8.674910418508594,6.226595486777243
4.774485553433415,4.87588753789877
4.774485553433415,4.87588753789877
4.028271948004012,5.037591125786022
6.59479152018351,5.568627544643392
5.312457272676558,6.39849013987433
4.983640799672567,6.437320503507355
7.106765138117763,8.959667359710561
7.950871381434513,9.675621847049724
4.304456418774395,9.232841396055342
3.6393526589295995,9.362260695535657
6.124828191865757,9.559970032017779
5.062815320043301,9.487369258305332
7.224737130480675,4.444734297538694
6.890751990103134,6.576865843520254
7.691064348483247,5.659402168263305
6.283422933490957,8.304429034370735
8.173101255758006,8.356325140007739
6.709726537137263,6.428459859456224
6.930410486289692,7.123378290023556
6.39224879180438,6.61178958199327
7.222316740889361,8.269185294441513
9.246708622100604,5.7422338843651675
6.278864318902072,5.226168069063708
6.278864318902072,5.226168069063708
5.263904723178086,6.05155242535397
5.263904723178086,6.05155242535397
7.187509606357604,5.771241861327714
8.074004100076348,6.497342704218422
5.777900899086562,6.040140227238593
6.39526353389733,7.5050754302971185
5.753685444150746,6.3942822165364435
7.223230068660481,5.4408782579643855
5.281169751414227,7.742596254240045
7.270341359617467,5.416457711741641
5.138041457286029,6.361398221891141
3.676613332574163,7.826050897438482
3.7112328979136087,5.871407483468655
7.767108408920455,5.407235316042329
7.767108408920455,5.407235316042329
4.542802576256522,5.8562323425421265
4.542802576256522,5.8562323425421265
5.215983430782461,8.525158287698362
5.153744218062433,9.414500812449534
7.193550990866106,8.789604895864787
4.189319563406982,4.409993529697029
5.10029201554411,5.52349816877679
6.4081483485180515,4.263406879179229
6.430358893243504,5.537449451954338
6.430358893243504,5.537449451954338
6.301687550792412,5.710438269321391
8.825699124349267,5.178264509085749
8.343291240506591,7.1540455558066105
7.58298015746761,6.848962509390198
5.324614356479637,4.737467399184801
6.040384486535926,7.89303970627226
6.544537222235946,7.695134204644435
6.544537222235946,7.695134204644435
6.20451967310809,4.283998093216789
6.20451967310809,4.283998093216789
3.9065446751318107,5.493845144180081
5.114489095673081,5.363175285883325
5.114489095673081,5.363175285883325
7.1349247786421826,8.367303587756604
7.489200896356298,3.5912446537683484
5.948164676654365,8.901649754775924
5.027248573788065,7.608211880407056
6.393879428168912,5.455526172860218
5.733262602817802,9.5500127397512
7.4025367954198,9.933180873419023
5.155237628002369,9.39643105536154
7.0808111372490785,9.162924095060307
6.686049750407207,9.132077774822903
5.23278774905167,7.6872913971998615
4.980350153143464,4.825318248168601
4.980350153143464,4.825318248168601
6.954846329296143,6.177797088412337
6.954846329296143,6.177797088412337
6.259452261258272,6.024209751444283
7.05156418753621,5.819423132682978
5.697633380467918,6.757992024946631
6.404713141389209,4.570601934798726
7.246249253553176,7.344775525420014
5.920053327501043,6.322723166440626
6.913867940198255,4.889158343497318
4.345203237364969,9.14543888699016
4.1909568645987845,8.99742922727696
4.867293371856336,5.5718529913807195
4.485051759817014,6.0132949651397825
5.916359670060687,7.3402467281565045
6.156816238312459,6.313309006126766
5.02120020963353,6.305886770026166
6.875310684021134,7.566391657773258
8.25381191928487,7.8785113947812455
6.987956275813042,4.124259969944145
