r,K,u0_rep1,u0_rep2
0.7914516885108649,6.920571772113624e7,1.0784717345122427e6,725149.8636153098
0.7496425375194387,8.944066438685074e7,581169.7468216525,1.1179669786197948e6
0.7286591066675044,9.566881438803327e7,820438.0487951571,769258.1055149203
0.7611968887488089,6.643353561474053e7,1.0226550997324218e6,914046.042385868
0.7611968887488089,6.643353561474053e7,1.0226550997324218e6,914046.042385868
0.8644260446433056,6.410545735959132e7,902973.4776937242,678250.522294346
0.8127134362686891,6.929289459689169e7,783007.5878803352,838233.0443272989
0.8385409530044033,7.434658182436793e7,823620.8362225537,644460.3570747023
0.8385409530044033,7.434658182436793e7,823620.8362225537,644460.3570747023
0.7494743681636092,7.310616332322131e7,903150.6927656024,946062.8666053987
0.8121602551601345,7.803590814385323e7,728847.5205168121,1.051962599023411e6
0.8921673811141491,6.474069675123669e7,709829.0132312381,889570.1666912601
0.9454932256369576,5.722074545938505e7,784875.1337660805,787888.5750591985
0.812685588787656,7.975437991982186e7,842532.5641586096,758110.5112053162
0.7777602528564079,7.313292864299054e7,801373.383419926,797773.1797964969
0.7893037327066338,6.735583978875762e7,858355.7539099241,787469.3936753373
0.694227101055753,9.126055202619664e7,1.1314705227606045e6,1.060693014642478e6
0.7020971425475341,6.426717288366533e7,848673.0340384697,1.087008283871464e6
0.8186603720487426,7.337904965265006e7,1.358653841841018e6,765664.5466920837
0.8402548303609731,7.203899232055905e7,900245.2664632493,721293.1545510036
0.927911213993791,6.3543894789840184e7,550788.8071493575,685229.5104072832
0.9207824698611962,6.4173551398549065e7,547839.3985235514,717746.1216967131
0.9207824698611962,6.4173551398549065e7,547839.3985235514,717746.1216967131
0.8050521131275091,7.105879377478549e7,1.245648311403485e6,693244.958994481
0.8728615176717432,7.031199674040712e7,665849.779866367,610289.2007075398
0.865886430714662,6.637377460536371e7,617951.3377971211,711325.393296638
0.9186026233040355,7.388400150344338e7,862427.3056825697,533180.2719802201
0.8249156147761242,6.561526412159737e7,1.1382018689390165e6,636602.0040729771
0.8448990770667827,7.387496341133352e7,1.0338255800414596e6,705062.6453791705
0.7926477575056219,8.473171079186709e7,971753.2812257591,865791.039518138
0.8520881340498271,6.336012042006059e7,919581.941170219,795775.2552519629
0.7933521017545484,7.390316815725772e7,814762.8678503903,704374.2424151349
0.8675619211198552,6.3398509496450946e7,963336.0783325211,703370.4380549147
0.9416757485608004,5.58072908528022e7,699613.8416770969,642459.1110721368
0.8868457321757917,5.950949995451938e7,869033.2428924991,525039.9120057456
0.8165822796014616,7.11533974862178e7,658019.4352113091,936452.7565161823
0.8808373285971678,7.616008459256779e7,853281.9580880537,669234.4199491866
0.8094847442020454,7.82947818882322e7,853519.7191777125,693991.9864752672
0.7566936754584795,8.548340619710429e7,963118.6169819701,617477.3907939532
0.7669054718484308,6.794803976287422e7,1.003877215362759e6,746817.5674124801
0.7583369835469043,6.811402550300604e7,787709.2170928401,831088.0424810624
0.8407554571833608,7.137841444941682e7,777204.295997187,633025.5583293568
0.7602994982183168,6.177295290728101e7,1.2148955604866303e6,989729.8024978389
0.73396405496988,6.2339478825327925e7,1.1951119961711394e6,872861.3476977723
0.8409315164772665,7.145928711826621e7,665429.7279565502,779906.4417109885
0.6533490426488895,9.708164101672287e7,1.254116781635697e6,908196.9753497064
0.7199687599402809,9.370925220354459e7,832842.2517562405,946407.8879219745
0.8388991076437057,6.2927980476992086e7,804068.7588858177,721139.0808067236
0.7706859624180459,8.313593322567743e7,1.0120840264984183e6,1.0037215257638923e6
0.7438264569542219,8.935003924534525e7,886877.6117190556,597447.5751638038
0.7438264569542219,8.935003924534525e7,886877.6117190556,597447.5751638038
1.0264180955162214,6.6131890907087065e7,843792.345785677,648480.3058194072
0.8492076362874946,6.794573373091796e7,734899.0532580412,926916.8447375244
0.7915592618388659,5.8632712354962334e7,695984.334634749,923299.9449823089
0.8126513816233154,7.25710450428134e7,754102.0994681563,871053.0606233743
0.8206132622782485,6.451097693936544e7,887113.9109388613,627487.9186108725
0.7998905123933503,7.049769111359857e7,790812.6348028403,946432.0722380667
0.8635377938735463,5.884043397088531e7,877135.9710522252,703662.3105269668
0.7347849429258362,7.282600515564348e7,1.2839920150747697e6,941835.5436803724
0.7094571482585396,6.4252980212222725e7,1.0263691290608207e6,944197.0535396885
0.831308101980674,6.785555238979332e7,818534.040058021,823856.6651288082
0.8064845314680584,6.999158647575842e7,1.2029596136706953e6,724576.5160797094
0.7867935815061204,6.603636807743327e7,793548.2382241065,1.0344458101980098e6
0.836013267418745,8.28450025934846e7,954987.9321956167,699315.9844433377
0.8556735352080118,7.214657984287252e7,860627.84889202,1.0090956274153874e6
0.8280533761758668,6.613530408358686e7,983085.6542878324,917931.9614260064
0.7807987647316397,6.069017883354863e7,906253.018197539,817614.7407156029
0.751089254608111,8.693295552767092e7,879937.2743800727,771874.2371321177
0.8170754768145382,7.890112717678611e7,845010.8032503617,656044.7522162581
0.8085400424798259,7.401826207407637e7,620187.6831246186,865369.688355356
0.9229020014403612,7.910964294541952e7,819482.5783376065,586483.4062765421
0.7727552474621164,6.541638308598051e7,657065.097111629,1.0145563585421669e6
0.8890241638257222,6.2198025469643824e7,1.1515146114270673e6,605829.3435523782
0.779660218158456,7.111136342841293e7,631191.8644455695,611271.8342056416
0.8974493821805588,6.908816006858574e7,717641.5671219595,781845.4921594653
0.768232360806537,8.104762854092698e7,871360.2703602652,917564.7149457538
0.9418883706736041,7.90499009650646e7,753413.3039735269,609955.0668279193
0.7050174217961801,7.586144101582816e7,696238.1124830416,589850.126134885
1.0032853486026378,7.262716148499888e7,565852.5350038571,779519.9219936876
0.8176567878358177,5.890353435837069e7,608417.8411071609,730700.0731836221
0.8599281347949982,6.6460405736243255e7,689457.401604712,713964.7218170328
0.7641575483233398,7.644522799339099e7,859437.6685297885,759978.7918650756
0.7792894236976258,7.079938284475082e7,943358.1531477604,747250.1242681141
0.8881881757768604,7.135227227766944e7,837543.733344804,675591.451446451
0.9419683953645823,7.442652809985554e7,994004.6264278945,635569.4656258549
0.9581991745735086,5.163393467554077e7,526392.7077621813,797543.4005855364
1.0039701772990126,6.670700595652227e7,515924.50348160707,587592.5795186978
0.9303447744437,6.148272562621908e7,579941.5541548969,676852.1483548761
0.875328097123217,5.706052378788951e7,661863.4219402886,791529.9326103067
0.6990989917542841,7.44956684603811e7,1.075548341443786e6,831731.173545033
0.8872934265362098,6.669990686389554e7,842770.381632288,585737.8622375703
0.882203201843018,6.31429735900053e7,751313.4646124393,592791.08222127
0.7736241704855463,7.040756656595095e7,820309.1794412155,720265.1706681496
0.7930764308550401,7.998554832326314e7,691376.6559203605,827848.221101518
0.8580793753579005,7.561899889809406e7,630625.3557541675,688013.674464836
0.9573847061052425,5.7750689569508076e7,754280.0108244396,514799.9292978976
0.7445619307995651,8.328582472511898e7,1.0345955149274124e6,1.1546431987924292e6
0.7053805698426984,1.0257984347852135e8,849982.9537801885,709173.5380727233
0.7839115713522258,7.618395023693858e7,1.097558789266521e6,1.1398550578599018e6
0.7070850939028714,7.18442202263528e7,1.3036045649764298e6,968546.1578236239
0.6966544581429533,6.409263599970804e7,1.055782462900449e6,1.1905313060413068e6
0.7872294130430012,6.803033751926464e7,1.217432229420673e6,894389.5422066437
0.8008275672235659,6.141993564287911e7,729555.1541310664,915996.0159127645
0.7665577104203205,7.932278485762216e7,989315.3549492299,715706.4949374163
0.890706365404729,6.4292153135940455e7,694547.216986797,828856.1092638095
0.833904444118718,6.579253276837284e7,839538.8549206604,732614.0907162852
0.7738509076909589,7.494377771432781e7,868106.256093703,809563.4529265427
0.9245668156652285,7.237735142584077e7,738178.6711989001,581660.3749746282
0.8764871017599165,7.07615365574452e7,643512.5284474778,650855.9655883131
0.8521551477040541,8.341336224077094e7,819255.1812676119,606152.5665067182
0.7936347452583391,6.880586620917246e7,850757.6739160812,836874.4403405339
0.827911973293726,6.39462643686824e7,911649.7845148416,741168.2175872845
0.9035143192911008,5.729488213106555e7,731726.2590217447,953136.05972297
0.8431868642786786,6.864154497510706e7,782636.9017614301,573092.332147758
0.932571557974316,6.009302676914021e7,673681.2207703453,666049.032802477
0.9426659256017372,6.479345817427132e7,862275.3883614752,552278.5820132932
1.0035402491146292,6.689700966344124e7,521754.2054445049,526720.8070587768
0.8101696148781015,7.19912624231202e7,518172.87530280295,684222.1257482786
0.9255739035937229,5.8549491564730115e7,830169.1388444754,542224.8630815533
0.9535969025874168,5.749654546500278e7,587893.5405133712,537968.9756217027
0.8065576134644544,7.872913869500864e7,1.0413089928708613e6,610941.6739215157
0.7270558173890874,7.376620123480895e7,934261.0634488382,609890.3439732639
0.7155235676819871,7.40132761163287e7,1.0202210564244236e6,683936.2763482732
0.9182809801918888,8.869900609894916e7,687770.0503211819,709541.5790417817
0.8397115275996354,8.000260547428527e7,727970.282800902,620988.1039546747
0.7905025882140032,6.287305357873194e7,912008.913165649,795360.549730075
0.8115216385837231,7.52193421879892e7,868426.165167864,809785.4770982226
0.9113820759543361,6.405981627516213e7,916642.1852441194,656678.5235343184
0.9090445659278341,6.2960115464982554e7,959230.116105169,743312.954288227
0.8431887725669629,6.235197424687946e7,649373.1139708145,775009.470826627
0.8118579611014825,7.315934069933422e7,1.0247137223808642e6,624952.3500401762
0.8708774881422695,6.1612314969721235e7,738418.8710449955,644100.5220062891
0.9076346710222886,6.276562428070573e7,878262.1344821879,792848.721164235
0.781436437015285,8.048784270605971e7,818486.5709989364,721032.4805642619
0.7072539455538925,7.077709457249647e7,1.1854839472242976e6,898702.0311618098
0.792724460743147,6.954786244589677e7,964695.1944046628,684855.0293542307
0.789227869304651,7.170741134267992e7,735667.3153385313,891499.3279852732
0.824907873490529,5.672276957575804e7,1.2788036835818947e6,623365.3714266398
0.8303991289898214,6.6349629616317555e7,763112.6456614758,952688.5914239308
0.8543790167485639,6.793255187625226e7,1.1358323302044817e6,583942.1725583831
0.780586784490801,5.866455512083747e7,833756.2013138444,818020.6286548764
0.8054130150357542,5.591950498633086e7,852223.7536341059,1.0007739831187994e6
0.7853903264307519,6.526509772545958e7,1.2264928946073023e6,732504.3530875333
0.7761743343573672,7.365697996598913e7,818988.0038519084,781567.0441297663
0.8441834460076405,6.672230695732591e7,785891.7362444097,848040.7245128587
0.852519314307849,7.167131488958469e7,665943.5987430268,778580.0569717773
0.9609868408833565,6.686416831274225e7,711160.5617859524,598198.3944356866
0.7032516573490566,8.64716820069752e7,894789.6891099284,921361.2688737508
0.7182199352219517,8.124632878861114e7,755661.2415836104,1.2489661909394732e6
0.7573128539510264,8.537004355229212e7,800534.8938388745,753533.9679172696
0.8866915613725632,5.536955282841728e7,909408.865350419,685056.0964089383
0.8963292797970481,6.384830325019111e7,939414.4890035056,686465.8788747852
0.8208136877906627,7.150627176635098e7,676350.3462251166,781699.6511533948
0.7474510199135853,8.191645573795648e7,945718.8920547452,925427.7142950192
0.8089335499725622,7.121800772663066e7,851971.5370873458,937105.8001198561
0.8809151909986691,6.002288243783068e7,794636.5447197616,619670.6059176013
0.8385377960299395,6.878058725110379e7,847448.2709955038,950328.4454913323
0.7883861879325489,5.838157760208327e7,974385.5398010095,716933.877632477
0.8026394053278586,7.480087155751872e7,971965.5106414154,1.0055426289126032e6
0.8776666606074435,6.945681699427049e7,794329.6393114554,601348.1722097173
0.8633422545998846,7.167948659997036e7,822960.6733490953,647557.7047687782
0.7005812252337458,7.625413056639718e7,1.4531430285438374e6,977011.9603317517
