r,K,u0_rep1,u0_rep2
1.2173136229750183,5.4756851332252935e7,793914.0385413959,853313.6133041624
1.051410128527226,6.82680524663616e7,922727.2865144492,1.3850021459280807e6
1.204741329839572,6.3625146880844556e7,1.490883755203649e6,1.1890760454190115e6
1.0952515489831636,6.3414618888276406e7,1.084899307833605e6,1.0268397342480853e6
1.012799197821993,7.187660264264691e7,1.2403194482190893e6,1.0850518251463335e6
1.0069390561585676,7.251430085913134e7,1.018678567928903e6,1.229684701900101e6
1.1638879707379628,6.199612282226274e7,981962.5897376304,1.0452935917722217e6
0.8710561498304544,7.142122181020845e7,1.3774094213011113e6,1.1434144358355177e6
0.8710561498304544,7.142122181020845e7,1.3774094213011113e6,1.1434144358355177e6
1.222389057407814,6.156712536570156e7,883586.3481552405,761999.3044380995
1.1042755063136116,7.658606256755863e7,1.0368771780080646e6,709604.0700164575
0.9869688092620007,7.735505581239904e7,978535.4789819381,1.4021423974594837e6
1.134590445671406,6.113904459841922e7,787982.8173730762,1.0609182052237801e6
1.3425528884951325,6.202697171970665e7,1.109860108004808e6,812293.8469081044
1.0585361116661487,5.680195225789355e7,877770.7055917407,1.0835643922725548e6
1.1476272691092473,6.409702178511934e7,943534.1199200182,788825.7922682954
1.1112607979887714,6.358238930754087e7,1.211173029192349e6,1.0033412481161165e6
1.2477967764016304,7.26875142700875e7,975201.9290053406,1.0061771042193718e6
0.95264237486372,6.120030521793774e7,764112.02825776,930713.8011057591
1.0526690037252724,6.622228904453706e7,785443.2202997722,963926.0394607433
1.169170978087288,6.914329529406898e7,1.0936430468033105e6,879287.3022823296
1.0888667547789332,6.7101682786492676e7,1.1725278535293248e6,1.1729789283521874e6
1.2006337719397524,7.420158223145209e7,1.3193094201420257e6,1.2317939432469737e6
1.226141626580653,6.561938493468712e7,884310.6007595873,765109.0554351523
1.2823833816711998,5.6424761986340284e7,893682.5574328122,750001.7450361591
1.2513248206726664,5.771775534935824e7,837918.8194223193,772961.856842913
1.1811139418628243,6.1949069876232445e7,926109.685202654,984809.2592206458
1.0716665080628898,7.312897118665184e7,1.0760729770847242e6,1.2057709533715087e6
1.243660047496789,5.6844969475547105e7,1.0750941109655597e6,914351.9544436301
1.3145454238993517,5.632975908524558e7,733166.1579575762,1.2024091390271266e6
1.4089620218533998,5.802607231272175e7,684302.865848496,1.3015213964566728e6
1.3143353752669182,5.835958210672057e7,674413.4029643952,902447.1644771139
1.362760960540863,6.779294483687118e7,579960.7608031166,843112.4542979323
1.24896409362734,6.330804480657926e7,789773.8015099817,835263.2902309846
1.1737116794708935,6.287756273594073e7,1.0591153643954718e6,892479.7056973015
1.0532171735144988,6.4081039515753336e7,1.271137064745116e6,1.396228325522463e6
1.2908330283598437,6.153778677882138e7,774730.0477779619,676724.9552165414
0.9394602970949026,7.561434542570536e7,1.3193345467653582e6,1.3912242370775763e6
1.279899506419083,6.124364379289021e7,1.0280860201586398e6,866458.4376213828
1.189278015821843,6.441587172297714e7,881382.3573675295,932437.8969074718
1.0359086087959888,6.801462905112958e7,958794.7663502675,1.0434475026574438e6
1.1879055078646021,6.794968676832123e7,918150.9603131004,1.0286550121966881e6
1.247184580765274,7.328552328253567e7,818124.5409697072,1.1155306503979694e6
1.0856503192899611,6.5810005229149215e7,1.2369246321517779e6,815805.4859289948
1.1076089800246494,6.69110532016472e7,1.249131460864279e6,786007.3601424883
1.2459289252225507,5.7310303314269096e7,792952.3335176371,1.0928457850591973e6
1.1123216313061612,6.656553508595718e7,1.114529382082893e6,890055.134523145
1.5444795786714005,4.936014065383665e7,756271.3806598864,573492.9405440532
0.8660646029840412,7.435616969118613e7,801610.7616140491,1.1103604795798091e6
0.9271104863258669,7.088164797298387e7,824797.0531304237,1.4728798913835245e6
0.9780648254787828,7.875935994670337e7,1.9947002518973628e6,1.0192171206400434e6
1.0695099965475086,5.503014155409688e7,777600.7289376407,1.2455007403439349e6
1.1805587074488502,5.0419853701883525e7,859328.0817830167,1.0542814614528227e6
1.3656171412392908,7.411285116572765e7,1.048727503688816e6,885177.7778693979
1.2378600883630269,6.746394170773384e7,879972.7000602616,718014.8244073597
1.1667554934998796,6.2218133452257074e7,1.0057353489070524e6,1.0790648893429297e6
1.014774359975337,6.620677066287174e7,1.215093011331743e6,1.0572123497104603e6
1.1031453609221447,6.724380375764298e7,1.097805847792702e6,1.0892507500594081e6
1.1910938297989142,7.138910804872593e7,945058.3060369336,956543.7824095783
1.0948512315495926,6.061608029143629e7,1.3505804524036245e6,1.274618040244834e6
1.0734239594166823,7.087060790877561e7,955334.7880699893,970580.8896444002
